location,highly_effective_percent,effective_percent,minimally_effective_percent,ineffective_percent
Detroit City School District,0.79,0.17,0.02,0.02
Statewide,0.38,0.59,0.02,0.01
Academy of The Americas,0.83,0.14,0.0,0.03
Administrative Unit,0.65,0.35,0.0,0.0
Ann Arbor Trail Magnet School,0.92,0.08,0.0,0.0
Bagley Elementary School,0.71,0.19,0.1,0.0
Bates Academy,0.97,0.03,0.0,0.0
Beard Early Childhood,1.0,0.0,0.0,0.0
Benjamin Carson School for Science and Medicine,0.53,0.42,0.05,0.0
Bennett Elementary School,0.88,0.12,0.0,0.0
Blackwell Institute,0.57,0.36,0.07,0.0
Bow Elementary-Middle School,0.56,0.41,0.03,0.0
Breithaupt Career and Technical Center,0.84,0.16,0.0,0.0
Brewer Elementary-Middle School,0.81,0.13,0.06,0.0
"Brown, Ronald Academy",0.8,0.18,0.02,0.0
Bunche Elementary-Middle School,0.9,0.05,0.03,0.02
Burton International School,0.08,0.92,0.0,0.0
Carleton Elementary School,0.84,0.12,0.04,0.0
Carstens Elem-Middle School,0.61,0.2,0.11,0.08
Carver Elementary-Middle School,0.08,0.92,0.0,0.0
Cass Technical High School,0.96,0.03,0.01,0.0
Charles R. Drew Transition Center,0.84,0.14,0.0,0.02
Chrysler Elementary School,1.0,0.0,0.0,0.0
"Clark, J.E. Preparatory Academy",0.53,0.4,0.05,0.03
"Clemente, Roberto Academy",0.98,0.02,0.0,0.0
Clippert Academy,0.95,0.05,0.0,0.0
Cody Academy of Public Leadership,0.92,0.08,0.0,0.0
Communication and Media Arts HS,0.68,0.28,0.0,0.04
Cooke Elementary School,0.71,0.24,0.05,0.0
Crockett Career and Technical Center,0.0,1.0,0.0,0.0
Davis Aerospace High School,0.76,0.19,0.05,0.0
Davison Elementary-Middle School,0.98,0.02,0.0,0.0
Detroit City West Side Academy for Leadership Development,0.74,0.1,0.1,0.06
Detroit Collegiate Preparatory High School @ Northwestern,0.71,0.27,0.02,0.0
Detroit Institute of Technology at Cody,0.96,0.0,0.04,0.0
Detroit International Academy for Young Women,0.9,0.1,0.0,0.0
Detroit School of Arts,0.83,0.17,0.0,0.0
Diann Banks-Williamson Educational Center,0.6,0.3,0.0,0.1
Dixon Elementary School,0.95,0.0,0.05,0.0
Dossin Elementary-Middle School,0.87,0.09,0.0,0.04
Douglass Academy for Young Men,0.91,0.03,0.03,0.03
DPS Foundation for Early Learners @ Edmonson,1.0,0.0,0.0,0.0
DPS Foundation for Early Learners @ Glazer,1.0,0.0,0.0,0.0
DPS Foundation for Early Learners @ Loving,1.0,0.0,0.0,0.0
DPS Foundation for Early Learners PK @ White,0.5,0.5,0.0,0.0
Durfee Elementary-Middle School,0.88,0.1,0.03,0.0
Earhart Elementary-Middle School,0.69,0.29,0.0,0.02
East English Village Preparatory Academy,0.81,0.1,0.08,0.01
Eastside Detroit Lions Academy,0.75,0.25,0.0,0.0
Edison Elementary School,0.88,0.06,0.06,0.0
"Edward ""Duke"" Ellington @ Beckham",0.67,0.19,0.07,0.07
Emerson Elementary-Middle School,0.89,0.08,0.0,0.03
"Field, Moses",0.94,0.06,0.0,0.0
Fisher Magnet Lower Academy,0.85,0.15,0.0,0.0
Fisher Magnet Upper Academy,0.91,0.06,0.03,0.0
Fleming Early Learning Neighborhood Center,0.5,0.5,0.0,0.0
Foreign Language Immersion and Cultural Studies,0.94,0.06,0.0,0.0
Foundation for Early Learners @ Rutherford Charter,0.5,0.5,0.0,0.0
Gardner Elementary School,0.8,0.15,0.05,0.0
Garvey Academy,0.87,0.1,0.0,0.03
Golightly Career and Technical  Center,1.0,0.0,0.0,0.0
Golightly Education Center,0.73,0.27,0.0,0.0
Gompers Elementary-Middle School,0.78,0.14,0.0,0.08
Greenfield Union Elementary-Middle School,0.81,0.06,0.0,0.13
Harms Elementary School,1.0,0.0,0.0,0.0
Henderson Academy,0.83,0.08,0.07,0.02
"Holmes, A.L.  Elementary-Middle School",0.78,0.19,0.03,0.0
Hutchinson Elementary-Middle School,0.86,0.11,0.03,0.0
Jerry L White Center High School,0.9,0.1,0.0,0.0
Keidan Special Education School,0.65,0.31,0.0,0.04
King High School,0.64,0.33,0.03,0.0
"King, John R. Academic and Performing Arts Academy",0.73,0.25,0.02,0.0
Ludington Magnet Middle School,0.92,0.08,0.0,0.0
Mackenzie Elementary-Middle School,0.89,0.06,0.0,0.05
Mann Elementary School,0.46,0.54,0.0,0.0
Mark Twain Elementary-Middle School,0.83,0.17,0.0,0.0
Marquette Elementary-Middle School,0.53,0.35,0.08,0.04
"Marshall, Thurgood Elementary School",0.77,0.15,0.03,0.05
Mason Elementary School,0.4,0.43,0.14,0.03
Maybury Elementary School,0.9,0.05,0.0,0.05
Medicine and Community Health Academy at Cody,0.55,0.45,0.0,0.0
Munger Elementary-Middle School,0.82,0.16,0.02,0.0
Neinas Elementary School,0.87,0.13,0.0,0.0
Nichols Elementary-Middle School,0.95,0.0,0.05,0.0
Noble Elementary-Middle School,0.65,0.3,0.02,0.03
Northwestern South Wing,0.33,0.67,0.0,0.0
Office of Adult Education,0.91,0.04,0.0,0.05
Osborn Academy of Mathematics,0.76,0.2,0.04,0.0
Osborn College Preparatory Academy,0.9,0.05,0.05,0.0
Osborn Evergreen Academy of Design and Alternative Energy,0.57,0.43,0.0,0.0
Palmer Park Preparatory Academy,0.92,0.05,0.0,0.03
Pasteur Elementary School,0.96,0.0,0.04,0.0
Priest Elementary-Middle School,0.74,0.26,0.0,0.0
Pulaski Elem-Middle School,0.43,0.28,0.11,0.18
Randolph Career and Technical Center,0.86,0.14,0.0,0.0
Renaissance High School,0.87,0.06,0.04,0.03
"Robeson Academy, Malcolm X Academy",0.78,0.18,0.0,0.04
Sampson Academy,0.97,0.03,0.0,0.0
Schulze Elementary-Middle School,0.93,0.07,0.0,0.0
Spain Elementary-Middle School,0.91,0.06,0.03,0.0
Thirkell Elementary School,0.87,0.1,0.03,0.0
Turning Point Academy,0.76,0.12,0.06,0.06
Vernor Elementary School,0.89,0.11,0.0,0.0
Wayne Elementary School,0.77,0.18,0.05,0.0
Western International High School,0.92,0.08,0.0,0.0
"Wright, Charles School",0.97,0.03,0.0,0.0
"Young, Coleman A. Elementary",0.77,0.2,0.0,0.03
