Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Please select your Field Consultant ID. ,Which cohort is this Fellow a member of?,Please select the Cohort 27 Fellow ID that corresponds to the Fellow you observed.,Please enter the school DBN as a letter and 3-digit number (e.g. X232 or K021),K:Please enter the grade level(s) of the observed lesson. Select all that apply. ,1:Please enter the grade level(s) of the observed lesson. Select all that apply. ,2:Please enter the grade level(s) of the observed lesson. Select all that apply. ,3:Please enter the grade level(s) of the observed lesson. Select all that apply. ,4:Please enter the grade level(s) of the observed lesson. Select all that apply. ,5:Please enter the grade level(s) of the observed lesson. Select all that apply. ,6:Please enter the grade level(s) of the observed lesson. Select all that apply. ,7:Please enter the grade level(s) of the observed lesson. Select all that apply. ,8:Please enter the grade level(s) of the observed lesson. Select all that apply. ,9:Please enter the grade level(s) of the observed lesson. Select all that apply. ,10:Please enter the grade level(s) of the observed lesson. Select all that apply. ,11:Please enter the grade level(s) of the observed lesson. Select all that apply. ,12:Please enter the grade level(s) of the observed lesson. Select all that apply. ,"CTT/ICT:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","Self-contained:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","SETTS:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","D75:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","N/A:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","What is the Fellow’s assigned university subject area? (Please select the subject they are training in at their university, NOT the subject they are teaching during this observation.)",What was the date of this observation?,1a: :Please record your observation rating for component 1a: Demonstrating Knowledge of Content and Pedagogy.,1c::Please record your observation rating for component 1c: Setting Instructional Outcomes.,1e::Please record your observation rating for component 1e: Designing Coherent Instruction.,Comments for Domain 1,2b: :Please record your observation rating for component 2b: Establishing a Culture for Learning.,2c::Please record your observation rating for component 2c: Managing Classroom Procedures.,2d::Please record your observation rating for component 2d: Managing Student Behavior.,Comments for Domain 2,3b::Please record your observation rating for component 3b: Using Questioning and Discussion Techniques.,3c::Please record your observation rating for component 3c: Engaging Students in Learning.,3d::Please record your observation rating for component 3d: Using Assessment in Instruction.,Comments for Domain 3,4a::Please record your observation rating for component 4a: Reflecting on Teaching.,Comments for Domain 4,How effective do you believe this Fellow is compared to other teachers with similar experience (eg- first year Fellows compared to other first year teachers)?,URL Redirect
1,2/20/2017 9:05,2/20/2017 9:14,Complete,,,,English,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,1487599491_58aaf783eea0f6.20753250,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko,,96.246.212.58,-74.12580109,40.56600189,United States,Staten Island,NY,10306,2057,Cohort 27,50151,k506,,1,,,,,,,,,,,,,,,,N/A,Bilingual,04/17/0003,Effective+,Effective,Effective,,Effective+,Effective+,Effective+,,Effective,Effective,Effective,,Effective,,Above Average,
2,2/20/2017 16:31,2/20/2017 16:47,Complete,,,,English,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,1487626262_58ab6016cdb732.01556090,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",,47.17.119.141,-73.8615036,41.16289902,United States,Ossining,NY,10562,1993,Cohort 27,51169,x030,,1,,,,,,,,,,,,,,,,N/A,Bilingual,2/13/2017,Effective,Effective,Developing+,The teacher demonstrates accurate understanding of prerequisites relationships among topics.,Effective,Effective,Effective,The teacher provides a variety of appropriately challenging materials and resources.,Effective,Effective,Effective,"The teacher challenges students to justify their thinking and successfully engages most students in the discussion, employing a range of strategies to ensure that most students are heard.",Effective,The teacher makes assessments of their lesson and its effectivness and its instructional outcome for necessary imporvements if needed.,Average,
5,3/4/2017 17:24,3/4/2017 17:30,Complete,,,,English,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,1488666239_58bb3e7f556c40.86590306,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,71.207.72.114,-76.79570007,40.37760162,United States,Harrisburg,PA,17112,1934,Cohort 27,50004,15K094,,,,3,,,,,,,,,,,,,,N/A,ESL,2/28/2017,Developing+,Developing+,Developing+,,Developing+,Developing,Developing+,,Developing,Developing+,Developing,,Developing+,,Average,
6,3/7/2017 11:06,3/7/2017 11:21,Complete,,,,English,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,1488902798_58beda8e684542.01885086,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 ","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,65.88.88.64,-73.90699768,40.83089828,United States,Bronx,NY,10456,2049,Cohort 27,51134,M372,,,,,,,,,,9,,,,,Self-contained,,,,ESL,3/2/2017,Effective,Developing+,Developing+,,Effective,Effective,Effective,,Effective,Effective,Developing+,,Developing+,,Average,
7,3/7/2017 11:22,3/7/2017 11:24,Complete,,,,English,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,1488903728_58bede30da0f36.98147370,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 ","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,65.88.88.64,-73.90699768,40.83089828,United States,Bronx,NY,10456,2049,Cohort 27,51076,M377,,,,,,,6,,,,,,,,,,,N/A,ESL,2/27/2017,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,,Average,
8,3/16/2017 21:02,3/16/2017 21:23,Complete,,,,English,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,1489712386_58cb35020edcb9.00701829,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,24.228.27.10,-73.88670349,40.8647995,United States,Bronx,NY,10458,1912,Cohort 27,51061,X086,,,,,4,,,,,,,,,,,,,N/A,Bilingual,3/17/2017,N/A,N/A,N/A,She didn't do it,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Below Average,
12,3/17/2017 11:42,3/17/2017 12:06,Complete,,,,English,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,1489765280_58cc03a0744ad6.64193730,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,100.2.222.54,-73.76750183,40.71609879,United States,Hollis,NY,11423,2052,Cohort 27,50584,Q141,,,,,,,6,,,,,,,,,,,N/A,ESL,3/6/2017,Highly Effective,Highly Effective,Highly Effective,The candidate has extensive knowledge of the content and delivers rigorous instruction to her students. Her lsson plans are clear and differentiated.,Highly Effective,Highly Effective,Highly Effective,The students take ownership of their learning and the candidate stresses student excellence. Time and student behavior are well managed. Routines are well established.,Highly Effective,Highly Effective,Highly Effective,The candidate uses higher order and open ended questions to push student learning. All students are engaged in active learning and assessments as well designed to monitor student learning.,Highly Effective,The candidate reflects on her teaching and is able to propose new strategies to use in the classroom.,Top 10%,
13,3/17/2017 11:43,3/17/2017 11:53,Complete,,,,English,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,1489765398_58cc0416c06f81.89908514,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",,47.17.119.141,-73.83149719,41.18790054,United States,Ossining,NY,10562,1993,Cohort 27,51169,x030,,1,,,,,,,,,,,,,,,,N/A,Bilingual,3/7/2017,Effective+,Effective+,Effective+,"The sequence of activities were designed to connect language and content objectives to the work of the unit of study and essential questions. (""How can labeling help me in my writing?"" ""How can I distinguish between text and illustration""?)",Effective+,Effective+,Effective+,"Classroom interaction among the teacher and individual students ae highly respectful, refleecting genuine warmth and caring and sensitivity to students as individuals. The teacher exhibits good classroom management skills. The teacher praises students by saying, ""Good job"", ""Thats great.""",Effective+,Effective+,Effective+,"The lesson was well planned and prepared using your extensive knowledge of the content area and included some of the components required. The lesson plan incorporated the mini-lesson, guided practice, independent practice, assessment, group practice, summary. The teacher circulated during small-group and/or independent work, offering suggestions to students. The teacher  used specifically formulated questions to elicit evidence of student understanding. The teacher reviewed students work and conferenced with them as the teacher circulated around the classroom.",Effective+,Teacher analyzes and uses assessment/student work data to identify next steps in instruction.,Above Average,
15,3/17/2017 12:06,3/17/2017 12:35,Complete,,,,English,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,https://www.surveygizmo.com/s3/3337062/FDI-2016-17-HC-TESOL-R3,1489766805_58cc0995a23e37.30048593,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,100.2.222.54,-73.76750183,40.71609879,United States,Hollis,NY,11423,2052,Cohort 27,50677,Q126,,,,,,,,,8,,,,,,,,,,ESL,3/7/2017,Effective+,Developing+,Effective,The candidate is knowledgeable of the content and his lesson plans are coherent. Instructional outcomes are moderately rigourous.,Developing+,Effective,Developing+,The candidate should stress to his students the importance of assuming responsibilty and producing high quality work. The students are aware of classroom routines and knwo what they have to do when they enter the classroom. Classroom behavior needs to be better managed and standards of condcut should be implemented.,Effective,Effective,Developing+,"The candidate engages all students in discussion and all students are engaged in learning. Assessments should push students to demonstrate their mastery of the material being taught. Students should be producing more written work, as opposed to verbally answering questions.",Effective,The candidate is able to self-reflect on what did and did not work,Average,
17,3/17/2017 13:54,3/17/2017 14:01,Complete,,,,English,https://mail.google.com/mail/mu/mp/69/,https://mail.google.com/mail/mu/mp/69/,1489773213_58cc229d5b9f97.40392547,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Ver","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1",,70.199.150.53,-122.3320999,47.60620117,United States,Seattle,WA,98111,1908,Cohort 27,50699,M128,,1,,,,,,,,,,,,,,,,N/A,ESL,3/3/2017,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,Effective,Developing+,,Effective,,Above Average,
