Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Please select your Field Consultant ID. ,Which cohort is this Fellow a member of?,Please select the Cohort 27 Fellow ID that corresponds to the Fellow you observed.,Please enter the school DBN as a letter and 3-digit number (e.g. X232 or K021),K:Please enter the grade level(s) of the observed lesson. Select all that apply. ,1:Please enter the grade level(s) of the observed lesson. Select all that apply. ,2:Please enter the grade level(s) of the observed lesson. Select all that apply. ,3:Please enter the grade level(s) of the observed lesson. Select all that apply. ,4:Please enter the grade level(s) of the observed lesson. Select all that apply. ,5:Please enter the grade level(s) of the observed lesson. Select all that apply. ,6:Please enter the grade level(s) of the observed lesson. Select all that apply. ,7:Please enter the grade level(s) of the observed lesson. Select all that apply. ,8:Please enter the grade level(s) of the observed lesson. Select all that apply. ,9:Please enter the grade level(s) of the observed lesson. Select all that apply. ,10:Please enter the grade level(s) of the observed lesson. Select all that apply. ,11:Please enter the grade level(s) of the observed lesson. Select all that apply. ,12:Please enter the grade level(s) of the observed lesson. Select all that apply. ,"CTT/ICT:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","Self-contained:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","SETTS:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","D75:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","N/A:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","What is the Fellow’s assigned university subject area? (Please select the subject they are training in at their university, NOT the subject they are teaching during this observation.)",What was the date of this observation?,1a: :Please record your observation rating for component 1a: Demonstrating Knowledge of Content and Pedagogy.,1c::Please record your observation rating for component 1c: Setting Instructional Outcomes.,1e::Please record your observation rating for component 1e: Designing Coherent Instruction.,Comments for Domain 1,2b: :Please record your observation rating for component 2b: Establishing a Culture for Learning.,2c::Please record your observation rating for component 2c: Managing Classroom Procedures.,2d::Please record your observation rating for component 2d: Managing Student Behavior.,Comments for Domain 2,3b::Please record your observation rating for component 3b: Using Questioning and Discussion Techniques.,3c::Please record your observation rating for component 3c: Engaging Students in Learning.,3d::Please record your observation rating for component 3d: Using Assessment in Instruction.,Comments for Domain 3,4a::Please record your observation rating for component 4a: Reflecting on Teaching.,Comments for Domain 4,How effective do you believe this Fellow is compared to other teachers with similar experience (eg- first year Fellows compared to other first year teachers)?,URL Redirect
1,2/15/2017 13:21,2/15/2017 13:37,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487182894_58a49c2ef1b407.12714462,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,,69.116.23.105,-73.87159729,40.87599945,United States,Bronx,NY,10467,2004,Cohort 27,50926,X562,,,,,,,6,,,,,,,,,,,N/A,ESL,1/17/2017,Effective+,Effective+,Effective+,The lesson plan submitted included content and language objectives. The teacher introduced the topic of writing pro and con of a particular issue. Teacher indicated:  We are going to continue our work today.  We are going to finish reading two articles on the same topic and write a good argument. Its important to look at bot sides of the argument; we will use this chart. The teacher modeled one example.,Effective+,Effective+,Effective+,Students were partnered and guidelines for note taking reviewed. Students were engaged and their participation encouraged. The teacher made sure to re-direct students' attention when needed. Teacher indicated:  Thank you for working hard today; you showed that you can do it.  Teacher said:  I need all eyes on me.,Effective+,Effective+,Effective+,Students were paired. All handouts and charts were created and distributed during the course of the lesson. Teacher asked:  What is your story about?  What is your understading of the main idea?  Do you agree or disagree?  Why?,Effective+,The teacher is very reflective.  He takes notes during our briefing and engages in discussion regarding the feedback given.  He expresses ideas of how to improve the delivery of instruction.,Average,
2,2/15/2017 13:38,2/15/2017 13:49,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487183889_58a4a0113aace5.71757640,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,,69.116.23.105,-73.87159729,40.87599945,United States,Bronx,NY,10467,2004,Cohort 27,50926,X562,,,,,,,6,,,,,,,,,,,N/A,ESL,2/8/2017,Effective,Effective,Effective,"This is a stand alone ENL class composed of students in mixed grades (6-8) of various ENL levels.  The teacher planned and delivered a lesson that incorporated differentiated material; however, he had some difficulty in providing equal time and support to both groups.  Teacher indicated:  Everyone on this side will continue te same story as last week. You are to follow the directions (emergent group).  Everybody here (entering level), take out your vocabulary paper.",Effective,Developing+,Developing+,The teacher provided some assistance to each side of the room with little success. Students were extremely talkative and not working dilligently.  It took too long to get the lesson started.,Developing+,Developing+,Developing+,The two group set up was counterproductive as both groups were not cooperative. The teacher had some difficulty in getting the students engaged.,Effective+,The teacher is very reflective. He is also frustrated in his lack of expertise in grouping students and not having a written curriculum. Suggestions were given to begin the class first as a whole group and then creating different groups not so much based on their ENL level but on their ability; it was also suggested to be more specific with students in regard to the sequence of the lesson.,Average,
3,2/15/2017 13:49,2/15/2017 13:57,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487184568_58a4a2b878fbb2.34155936,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,,69.116.23.105,-73.87159729,40.87599945,United States,Bronx,NY,10467,2004,Cohort 27,50926,X562,,,,,,,,7,,,,,,,,,,N/A,ESL,2/8/2017,Effective,Effective,Effective,This was a second lesson observation on the same day. The teacher used some of the suggestion previously discussed and started the lesson as a whole group.  He was very clear on the sequence of the activities planned. Students had a clear understanding of the expectations.  He conducted an oral assessment of what had been accomplished the previous lesson before proceeding.,Effective,Effective,Effective,"Students were engaged and were periodically assessed. The teacher reassured the students by continually asking, Do you have a question for me? The sequence of each activity was introduced and modeled.",Effective,Effective,Effective,Students were encourage to participate throughout the lesson; pacing of each activity was effectively used to allow for student reflection.,Effective+,The teacher is very reflective and uses given suggetions immediatedly.,Average,
4,2/15/2017 13:58,2/15/2017 14:06,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487185037_58a4a48d0fb236.38801316,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,,69.116.23.105,-73.87159729,40.87599945,United States,Bronx,NY,10467,2004,Cohort 27,50085,x195,,,,,,5,,,,,,,,,,,,N/A,ESL,1/18/2017,Effective,Effective,Effective,The teacher follows the school's testing and curriculum outlines for this grade.  He follows the school's guidelines as far as classroom expectations.  The teacher has serious difficulty with classroom management.,Developing+,Developing+,Developing+,"The teacher had lacked consistency of classroom expectation and behavior.  He is easily flustered and reverses his own and those of the school's rules (eating in the classroom, etc).  When he is consistent with the clear expectations needed; the students appear to behave and cooperate but it doesnt last long.  The teacher has many of the pitfalls of new teachers but he needs to accept the feedback and continue working on them.",Developing+,Developing+,Developing+,Instruction is not as consistent and high quality due to students' misbehavior,Developing+,The teacher is reflective but doesnt always transfers suggestions into successful classroom practices.,Below Average,
5,2/15/2017 14:19,2/15/2017 14:26,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487185608_58a4a6c88cd7a7.13945766,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,,69.116.23.105,-73.87159729,40.87599945,United States,Bronx,NY,10467,2004,Cohort 27,50850,x195,,,,,4,,,,,,,,,,,,,N/A,ESL,1/27/2017,Effective,Effective,Effective,"The teacher follows the school's guidelines and grade level curriculum.  The teacher follows the expectations of the school in terms of how instruction should be provided; ie; grouping; rug groups, etc.",Effective,Effective,Effective,The teacher has to re-direct students' attention but is consistent with his expectations. Students respond well to teacher's re-direction.,Effective,Effective,Effective,The teacher shows more confidence  in the delivery of instruction; teacher used modeling of expectations and partner activity. Teacher indicated: Today we are going to learn strategies for improving our results on word problems. What questions come to mind when you hear that?,Effective+,The teacher is very reflective and provides suggestions for improvement.,Average,
6,2/15/2017 14:26,2/15/2017 14:34,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487186804_58a4ab74c7aaf0.56372020,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,,69.116.23.105,-73.87159729,40.87599945,United States,Bronx,NY,10467,2004,Cohort 27,50850,X195,,,,,4,,,,,,,,,,,,,N/A,ESL,2/3/2017,Effective,Effective,Effective,The lesson observed was on ELA vocabulary practice.  The teacher indicated:  Where do we always look; or what do we do to find out what a character is?,Effective,Effective,Effective,"Teacher: What I want you to do is to work on the bottom section right here; one partner per item; when you are finished, I want you to start writing on page 26; any questions?",Effective,Effective,Effective,The teacher walked around and worked with students as needed: Teacher:  I think you guys can break down this word yourself. Let's try it.,Effective+,The teacher is very reflective and works on suggestions given.,Average,
7,2/15/2017 14:35,2/15/2017 14:44,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487187315_58a4ad738f0e59.56649567,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,,69.116.23.105,-73.87159729,40.87599945,United States,Bronx,NY,10467,2004,Cohort 27,50260,X242,,,,,,,,7,,,,,,,,,,N/A,ESL,2/1/2017,Effective+,Effective+,Effective+,The teacher is very well prepared and creates experiences for students based on their strenghts; each part of the lesson is introduced with clear and precise  sequence which is presented with samples  and modeling.,Effective+,Effective+,Effective+,Students are grouped and clear expectations; students are coopertive and collaborative throughout.,Effective+,Effective+,Effective+,Teacher:  Let's hear from David; what did your partner say?  Teacher: Let's focus on these two pictures.  The teacher was very clear and modeled expectations and outcomes throughout.,Effective+,The teacher is very reflective and eager to try given suggestions.,Above Average,
8,2/15/2017 14:45,2/15/2017 14:51,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487187854_58a4af8e9a5263.16063909,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,,69.116.23.105,-73.87159729,40.87599945,United States,Bronx,NY,10467,2004,Cohort 27,50096,X268,,,,,,,,,,9,,,,,,,,N/A,ESL,2/6/2017,Highly Effective,Highly Effective,Highly Effective,The teacher is extremely well prepared and delivers instruction that is modified to meet the needs of all of her students. She is persistent and consistent in her delivery.  She presents the lesson sequentially and moves on once an assessment of students completed work is ascertained.,Highly Effective,Highly Effective,Highly Effective,"Students know classrom expectations; although a bit talkative, they are respectful of the teacher and each other.",Effective+,Effective+,Effective+,"The teacher walks around and provide assistance as needed; after each activity, the group leader shows the work completed.",Highly Effective,Very reflective and eager to use given suggestions and those generated during our debriefing.,Above Average,
9,2/15/2017 14:51,2/15/2017 14:57,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487188308_58a4b1546a7d09.04890790,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,,69.116.23.105,-73.87159729,40.87599945,United States,Bronx,NY,10467,2004,Cohort 27,51070,X432,,,,,,,,,,,,11,,,,,,N/A,ESL,2/15/2017,Effective+,Effective+,Effective+,This is an ENL collaborative English class. Both teacher have over time developed a strong partnership. They plan together and provide seamless instruction to all of their ENL groups. Lessons are planned with a variety of scaffolds and handouts that reflect students' learning needs and abilities.,Effective+,Highly Effective,Highly Effective,Teachers work well together and are awared of student's behavior; they take time seating near or next to those students who might need re-direction. Students are cooperative and collaborative.,Highly Effective,Effective+,Effective+,The teacher use questions to engage students' understanding and to encourage participation.  Every aspect of the lesson is structured so as to sequentially present the topic and to assist students in completing the tasks.,Highly Effective,The teacher is open to suggestions and is quick to incoporate those given,Above Average,
10,2/15/2017 14:58,2/15/2017 15:03,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1487188664_58a4b2b81fa0a6.31170046,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,,69.116.23.105,-73.87159729,40.87599945,United States,Bronx,NY,10467,2004,Cohort 27,51070,X432,,,,,,,,,,,,11,,,,,,N/A,ESL,2/15/2017,Effective+,Effective+,Effective+,Very structured and sequentially presented. The handouts assisted with comprehension.,Effective+,Effective+,Effective+,Teachers walked around and engaged all students in the discussions; students participated as needed and helped those that needed peer support.,Effective+,Effective+,Effective+,Students generated several of their own questions and these were incorporated as part of the instruction. Students were aware of expectations.,Effective+,The teacher is quick to reflect on her own practice and use this information to improve the delivery of instruction.,Above Average,
