Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Please select your Field Consultant ID. ,Are you observing a Teaching Fellow or a Partner Teacher?,Which cohort is this Fellow a member of?,Which cohort is this Partner Teacher a member of?,Please select the Cohort 27 Fellow ID that corresponds to the Fellow you observed.,Please select the Cohort 5 Partner Teacher ID that corresponds to the Fellow you observed.,Please enter the school DBN as a letter and 3-digit number (e.g. X232 or K021),K:Please enter the grade level(s) of the observed lesson. Select all that apply. ,1:Please enter the grade level(s) of the observed lesson. Select all that apply. ,2:Please enter the grade level(s) of the observed lesson. Select all that apply. ,3:Please enter the grade level(s) of the observed lesson. Select all that apply. ,4:Please enter the grade level(s) of the observed lesson. Select all that apply. ,5:Please enter the grade level(s) of the observed lesson. Select all that apply. ,6:Please enter the grade level(s) of the observed lesson. Select all that apply. ,7:Please enter the grade level(s) of the observed lesson. Select all that apply. ,8:Please enter the grade level(s) of the observed lesson. Select all that apply. ,9:Please enter the grade level(s) of the observed lesson. Select all that apply. ,10:Please enter the grade level(s) of the observed lesson. Select all that apply. ,11:Please enter the grade level(s) of the observed lesson. Select all that apply. ,12:Please enter the grade level(s) of the observed lesson. Select all that apply. ,"CTT/ICT:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","Self-contained:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","SETTS:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","D75:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","N/A:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","What is the Fellow’s assigned university subject area? (Please select the subject they are training in at their university, NOT the subject they are teaching during this observation.)",What was the date of this observation?,1a: :Please record your observation rating for component 1a: Demonstrating Knowledge of Content and Pedagogy.,1c::Please record your observation rating for component 1c: Setting Instructional Outcomes.,1e::Please record your observation rating for component 1e: Designing Coherent Instruction.,Comments for Domain 1,2b: :Please record your observation rating for component 2b: Establishing a Culture for Learning.,2c::Please record your observation rating for component 2c: Managing Classroom Procedures.,2d::Please record your observation rating for component 2d: Managing Student Behavior.,Comments for Domain 2,3b::Please record your observation rating for component 3b: Using Questioning and Discussion Techniques.,3c::Please record your observation rating for component 3c: Engaging Students in Learning.,3d::Please record your observation rating for component 3d: Using Assessment in Instruction.,Comments for Domain 3,4a::Please record your observation rating for component 4a: Reflecting on Teaching.,Comments for Domain 4,How effective do you believe this Fellow is compared to other teachers with similar experience (eg- first year Fellows compared to other first year teachers)?,URL Redirect
2,2/28/2017 16:08,2/28/2017 16:11,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488316107_58b5e6cbee0275.70987550,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,104.162.172.208,-73.8423996,40.72290039,United States,Forest Hills,NY,11375,1888,Teaching Fellow,Cohort 27,,50292,,x271,,,,,,,,,,,10,11,12,,Self-contained,,,,Math,2/16/2017,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,,Top 10%,
3,2/28/2017 16:11,2/28/2017 16:13,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488316295_58b5e7874962f7.01111208,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,104.162.172.208,-73.8423996,40.72290039,United States,Forest Hills,NY,11375,1830,Teaching Fellow,Cohort 27,,50528,,m463,,,,,,,,,,9,10,11,12,,,,,N/A,Math,2/28/2017,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,,Top 10%,
4,2/28/2017 16:13,2/28/2017 16:15,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488316401_58b5e7f17046b4.68860958,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,104.162.172.208,-73.8423996,40.72290039,United States,Forest Hills,NY,11375,1830,Teaching Fellow,Cohort 27,,50368,,m862,,,,,,,,7,,,,,,CTT/ICT,,,,,Special Education,2/17/2017,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,,Top 10%,
5,2/28/2017 16:15,2/28/2017 16:18,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488316539_58b5e87b2e7df4.06011895,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,104.162.172.208,-73.8423996,40.72290039,United States,Forest Hills,NY,11375,1830,Teaching Fellow,Cohort 27,,50919,,m680,,,,,,,,,,,10,11,12,CTT/ICT,,,,,Special Education,1/19/2017,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,,Top 10%,
6,2/28/2017 16:19,2/28/2017 16:21,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488316687_58b5e90f37d377.96480511,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,104.162.172.208,-73.8423996,40.72290039,United States,Forest Hills,NY,11375,1830,Teaching Fellow,Cohort 27,,51155,,m108,,,,,,,,7,,,,,,,Self-contained,,,,Special Education,2/16/2017,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,,Top 10%,
7,2/28/2017 16:21,2/28/2017 16:23,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488316873_58b5e9c9743191.58637196,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,104.162.172.208,-73.8423996,40.72290039,United States,Forest Hills,NY,11375,1888,Partner Teacher,,Cohort 5,,TCR198,x454,,,,,,,6,,,,,,,,,,,,Math,1/18/2017,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,,Top 10%,
8,2/28/2017 16:23,2/28/2017 16:25,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488316987_58b5ea3bcf3272.58792972,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,104.162.172.208,-73.8423996,40.72290039,United States,Forest Hills,NY,11375,1888,Partner Teacher,,Cohort 5,,TCR209,x454,,,,,,,,,8,,,,,,,,,,English,1/18/2017,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,,Top 10%,
12,3/1/2017 10:01,3/1/2017 10:01,Partial,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488380478_58b6e23e5d4fd9.58760959,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.104 AOL/9.8 AOLBuild/4346.13.US Safari/537.36",,69.120.154.162,-73.55899811,40.7140007,United States,East Meadow,NY,11554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3/1/2017 11:20,3/1/2017 11:20,Partial,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488385230_58b6f4ce7bacb1.45425004,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,74.88.245.46,-73.98930359,41.14759827,United States,New City,NY,10956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3/1/2017 11:30,3/1/2017 11:38,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488385828_58b6f724456398.81775707,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,104.162.172.208,-73.8423996,40.72290039,United States,Forest Hills,NY,11375,1830,Partner Teacher,,Cohort 5,,TCR192,x547,,,,,,,,,,,10,,,,,,,,Social Studies,2/13/2017,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,Highly Effective,Highly Effective,,Highly Effective,,Top 10%,
