response_id,date_submitted,status,please_select_your_field_consultant_id,which_cohort_is_this_fellow_a_member_of,fellow_id,please_enter_the_school_dbn_as_a_letter_and_3_digit_number_e_g_x232_or_k021,k_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x1_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x2_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x3_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x4_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x5_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x6_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x7_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x8_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x9_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x10_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x11_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x12_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,ctt_ict_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,self_contained_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,setts_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,d75_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,n_a_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,what_is_the_fellow_s_assigned_university_subject_area_please_select_the_subject_they_are_training_in_at_their_university_not_the_subject_they_are_teaching_during_this_observation,what_was_the_date_of_this_observation,x1a_please_record_your_observation_rating_for_component_1a_demonstrating_knowledge_of_content_and_pedagogy,x1c_please_record_your_observation_rating_for_component_1c_setting_instructional_outcomes,x1e_please_record_your_observation_rating_for_component_1e_designing_coherent_instruction,comments_for_domain_1,x2b_please_record_your_observation_rating_for_component_2b_establishing_a_culture_for_learning,x2c_please_record_your_observation_rating_for_component_2c_managing_classroom_procedures,x2d_please_record_your_observation_rating_for_component_2d_managing_student_behavior,comments_for_domain_2,x3b_please_record_your_observation_rating_for_component_3b_using_questioning_and_discussion_techniques,x3c_please_record_your_observation_rating_for_component_3c_engaging_students_in_learning,x3d_please_record_your_observation_rating_for_component_3d_using_assessment_in_instruction,comments_for_domain_3,x4a_please_record_your_observation_rating_for_component_4a_reflecting_on_teaching,comments_for_domain_4,how_effective_do_you_believe_this_fellow_is_compared_to_other_teachers_with_similar_experience_eg_first_year_fellows_compared_to_other_first_year_teachers,university,school_code,tt2id
73,2/27/2017 18:17,Complete,1776,Cohort 28,51198,97K140,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education,2/2/2017,Developing+,Developing+,Developing+,Poised and confident!,Developing+,Developing+,Effective,Great rapport with the children and they are benefitting from the instruction and structure he has put into place.,Developing+,Developing+,Developing+,Receptive to suggestions.  Strives for excellence!,Developing+,Introspective!,Above Average,Pace,97K140,bfa3125d-ab66-401a-971b-a60500c476a7
99,3/6/2017 11:33,Complete,949,Cohort 28,51228,X754,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,NA,NA,NA,D75,NA,Special Education - D75,02/01/0017,Effective,Effective,Effective,NA,Effective,Developing,Developing,NA,Developing+,Developing,Developing+,NA,Effective,NA,Above Average,Pace,97X754,7d5852b5-6452-481d-8c93-a2cf0135d931
128,3/11/2017 15:59,Complete,1205,Cohort 28,51208,M138,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,Self-contained,NA,D75,NA,Special Education,03/08/0017,Developing+,Developing+,Developing+,NA,Effective,Developing+,Developing+,This Fellpw is off to a good start has been developing a good rapport with the class.,Developing+,Developing+,Developing,NA,Developing+,This Fellow has a thoughtful and conscientious approach to growth as a beginning teacher.,Above Average,Pace,97M138,3074e78c-2c59-4ab0-b2bf-a5fb0061c204
185,3/15/2017 16:40,Complete,935,Cohort 28,51213,X721,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,NA,NA,Self-contained,NA,D75,NA,Special Education - D75,2/13/2017,Effective,Effective,Effective,The Fellow displays a solid knowledge of important concepts in the discipline.  She uses effective pedagogical approaches which are aligned with the students' levels and learning styles.  Instructional outcomes were clear and measured The learning experiences accommodated all students.,Effective,Effective,Effective,Learning is valued by the Fellow with high expectations leading to further verbalization of thoughts.  Students are aware of all routines and procedures.  They take pride in this independence.  The Fellow monitors students' behavior in a consistent manner.,Effective,Effective+,Effective,"Low-leveled questions help promote student thinking and recall (autistic, intellectually disabled)  All students were engaged at their learning level",Effective+,The Fellow made an accurate assessment of the lesson.  She would like to further differentiate the planning,Above Average,Pace,97X721,677d086f-1498-44c4-b1af-a2b201444222
192,3/16/2017 10:56,Complete,1205,Cohort 28,51202,M135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,03/16/0017,Developing+,Developing+,Developing+,This was a well prepared logcial lesson.  It will be important to work on differentiating approaches as student needs become better known,Effective,Developing+,Developing+,This Fellow has been developing a good rapport with her students.,Developing+,Developing+,Developing+,Good efforts were made to engage students and give feedback.,Developing+,This Fellow has a vey postive approach to her development as a first year teacher and is off to a good start at her school.,Above Average,Pace,02M135,6e149dc3-fa5a-42e3-9901-a5d700fd70cb
213,3/18/2017 11:19,Complete,913,Cohort 28,51209,Q752,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,NA,Self-contained,NA,D75,NA,Special Education - D75,3/7/2017,Effective+,Effective,Effective,Fellow demonstrates mastery of content.,Developing+,Developing+,Developing+,Students do not transition well.  Tasks most keep them engaged until period ends.,Effective,Developing+,Developing+,Fellow works to manage student behavior.  Fellow is professional and respectful of students.,Effective,Fellow is developing home contacts to better understand students and bring them to school with a positive attitude.,Above Average,Pace,97Q752,d71b7a00-55ac-4d49-ad15-a5f7013adfa4
46,3/6/2017 12:57,Complete,1835,Cohort 28,51272,X145,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/2/2017,Effective,Effective,Developing+,"Teacher is to plan fewer activities so that she is able to reach her lesson objective. We discussed time management, using visuals and pace of the lesson.",Effective,Developing,Effective,NA,Developing+,Developing+,Developing+,NA,Developing,NA,Above Average,City,09X145,3200aa6f-ae53-47d9-87ef-a54d000f0f75
91,3/10/2017 10:31,Complete,1835,Cohort 28,51288,X323,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/9/2017,Effective,Developing+,Developing+,We discussed additional scaffolds for the writing lesson.,Developing+,Developing,Developing+,NA,Developing,Developing+,Developing+,Teacher is to improve lesson time-management.,Developing+,Teacher talked about his teacher identity and position in the ICT classroom.,Above Average,City,09X323,13fedbaf-cf1b-40bf-8de9-a12a00ce75e9
129,3/14/2017 12:51,Complete,1929,Cohort 28,51246,6m293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,ESL,3/7/2017,Developing,Developing,Developing,"Teacher's plans and practice indicate some awareness of prerequisite relationships, although such knowledge may be inaccurate or incomplete. Outcomes represent moderately high expectations and rigor. The lesson or unit has a recognizable structure.",Developing,Developing,Developing,"With regular guidance and prompting, students follow established routines.  Standards of conduct appear to have been established.",Developing,Developing,Developing,"Teacher's questions lead students through a single path of inquiry, with answers seemingly determined in advance. Assessment is used sporadically to support instruction.",Developing,Teacher has a generally accurate impression of a lesson's effectiveness and the extent to which instructional outcomes were met.,Above Average,City,06M293,d19cef18-ff6d-4683-8478-a60300e62012
174,3/16/2017 11:21,Complete,1794,Cohort 28,51290,02M529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/15/2017,Developing,Developing,Developing+,"Ms. Ruiz is teaching ICT Chemistry, a subject area that is not her specialty, and is making a very good effort to master chemistry concepts so that she can work well with her students.  She does not have the far-reaching understanding of chemistry that will allow her to create well-scaffolded units of study as far as content; but her understanding of how to reach SPED students and all students at different levels is advanced for a first year teacher.  However, she is greatly limited by her co-teachers unwillingness to plan together and to design true co-teaching experiences that will increase learning outcomes for Ms. Ruiz's roster and for all the students in the class.  As such, most of what Ms. Ruiz can do ends up in-class attempts to guide the co-teacher into approaches that will create differentiated learning experiences.  Ms. Ruiz's ideas are excellent, and she is able to plan very effectively for her self-contained science classes, but in this class she is forced to bandaid the problems because of the unwillingness of her co-teacher to follow the true purpose of co-teaching in an ICT classroom.",Developing+,Effective,Effective,"In this area, Ms. Ruiz and her co-teacher could be excellent complements to each other, as their styles are very different and could work well together to reach different students.  However, again, her co-teacher is unwilling to follow any actual co-teaching model, does not plan with Ms. Ruiz and uses her mostly as a teaching assistant.  Students are very well-behaved, and actually it was remarkable to see students in this class with a completely opposite level of focus and engagement than I saw them having in a math class earlier that day with a different teacher.  But the co-teacher rules with the power of her personality and often makes cutting comments to students.  Ms. Ruiz's approach is much more student-centered, and she works to nurture students and bring out their natural desire to learn, but it is very difficult to build that classroom culture because she is being used as an assistant and not as a teacher.",Developing+,Developing+,Developing,"Again, in this area, Ms. Ruiz had a lot of excellent ideas, and I saw in the classroom that she tried to provide students with opportunities for deeper thinking, and that she noticed when students were not understanding concepts fully or needed more help, while her co-teacher moved on rapidly and did not notice.  In our post-ob, she shared with me ideas she had for differentiating the lesson, for increasing student engagement, but she was not able to put these into practice.  One student who had been a terror in the math class I observed earlier told me, when I asked her why she was so different in this class, that it was because of Ms. Ruiz, and I observed how Ms. Ruiz worked with this student very effectively and understood that this student needed to an LD assessment.  Ms. Ruiz also stopped the co-teacher several times to ask questions – in so doing, she modeled good questioning and deeper critical thinking and showed how she was able to gauge what students were struggling with – each time she asked those questions, she enabled a slow-down of the lesson, an attention to a skill that the students needed help with.  The echoes in the classroom were evidence that each time she did that, she was correct in understanding what the student's needed; and she was in her method making the best use of an ineffective co-teaching set-up.",Effective,"Ms. Ruiz is extremely reflective of her practice.  She is able to try out many of her ideas for honing her skills in her self-contained classroom and is very frustrated by her inability to do so in the other classrooms but is making the best of the situation.  She is so passionate and confident in her teaching ability that she may at times be more ready to share her ideas than to hear a new one, but given the virtual stranglehold on her in this set-up, and the total lack of support she receives from school administration – as well as the contract violations she is dealing with in terms of too many preps and not enough planning time, it is completely understandable that she is dying to share ideas for great teaching.",Above Average,City,02M529,4db41c5b-4111-48f4-b0e3-a5b400df4dfb
108,3/13/2017 15:58,Complete,2083,Cohort 28,51312,Q100,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education,03/08/0017,Effective+,Effective+,Effective,the fellow has taken the class over in Dec and has created a strong learning environment,Effective,Effective,Effective,"She has shared, through modeling, socialization with accountable talk and feedback",Effective,Effective,Effective,"she has begun some formative assessment, still looking engage her students in how they are doing",Effective,She accurately assesses her lessons and is constantly looking to improve,Above Average,BC,27Q100,3f915bda-51e1-445a-9132-a59f00b7e45a
120,3/14/2017 11:38,Complete,2086,Cohort 28,51300,X006,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/9/2017,Effective,Effective,Effective,NA,Effective+,Effective,Effective+,NA,Effective,Effective,Effective,NA,Effective,NA,Above Average,BC,04M057,c7b8d171-ddde-4474-8b3c-a51f00eabe08
122,3/14/2017 12:12,Complete,2028,Cohort 28,51313,K329,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education,2/7/2017,Effective,Effective+,Effective,The teacher had knowledge of the subject being taught.  She had several learning activities to ensure the students understanding.  There was some differentation of instruction.  The students worked in small groups.,Effective,Effective+,Effective,The students behavior was appropriate.  The teacher establishing rules which were posted on the board.  There is little loss of intructional time due to misbehavior.,Effective,Effective,Effective,Assessment is used in the classroom.  The teacher walks around the room recording the students progress.  The students are aware of what is expected of them.  The teacher uses questioning to help assess the students understanding of the subject area.,Effective,The teacher made an accurate assessment of her lesson.  She realized that she  must use different methods of assessment thoughtout the lesson.,Above Average,BC,21K329,527ba0c3-3131-4993-9e05-a5a3014fc340
149,3/15/2017 21:02,Complete,2021,Cohort 28,51324,M096,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education,3/1/2017,Developing+,Developing+,Developing+,lesson was appropriately planned and implemented,Developing+,Developing+,Developing+,students responded well to teacher direction. Behavior plan has been developed for the class.,Developing+,Developing+,Developing+,working on developing formative assessments,Effective,very willing to learn.,Above Average,BC,04M096,cf1243b1-2473-4de5-8a21-a41b009a6f91
163,3/16/2017 15:47,Complete,2086,Cohort 28,51318,X49,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/16/2017,Effective,Effective+,Effective+,NA,Effective+,Effective+,Highly Effective,NA,Effective,Effective+,Effective+,NA,Effective+,NA,Above Average,BC,07X049,a2897885-5cec-4f23-ac3a-a52300b24529
