Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Please select your Field Consultant ID. ,Which cohort is this Fellow a member of?,Please select the Cohort 27 Fellow ID that corresponds to the Fellow you observed.,Please select the Cohort 28 Fellow ID that corresponds to the Fellow you observed.,Please enter the school DBN as a letter and 3-digit number (e.g. X232 or K021),K:Please enter the grade level(s) of the observed lesson. Select all that apply. ,1:Please enter the grade level(s) of the observed lesson. Select all that apply. ,2:Please enter the grade level(s) of the observed lesson. Select all that apply. ,3:Please enter the grade level(s) of the observed lesson. Select all that apply. ,4:Please enter the grade level(s) of the observed lesson. Select all that apply. ,5:Please enter the grade level(s) of the observed lesson. Select all that apply. ,6:Please enter the grade level(s) of the observed lesson. Select all that apply. ,7:Please enter the grade level(s) of the observed lesson. Select all that apply. ,8:Please enter the grade level(s) of the observed lesson. Select all that apply. ,9:Please enter the grade level(s) of the observed lesson. Select all that apply. ,10:Please enter the grade level(s) of the observed lesson. Select all that apply. ,11:Please enter the grade level(s) of the observed lesson. Select all that apply. ,12:Please enter the grade level(s) of the observed lesson. Select all that apply. ,"CTT/ICT:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","Self-contained:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","SETTS:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","D75:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","N/A:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","What is the Fellow’s assigned university subject area? (Please select the subject they are training in at their university, NOT the subject they are teaching during this observation.)",What was the date of this observation?,1a: :Please record your observation rating for component 1a: Demonstrating Knowledge of Content and Pedagogy.,1c::Please record your observation rating for component 1c: Setting Instructional Outcomes.,1e::Please record your observation rating for component 1e: Designing Coherent Instruction.,Comments for Domain 1,2b: :Please record your observation rating for component 2b: Establishing a Culture for Learning.,2c::Please record your observation rating for component 2c: Managing Classroom Procedures.,2d::Please record your observation rating for component 2d: Managing Student Behavior.,Comments for Domain 2,3b::Please record your observation rating for component 3b: Using Questioning and Discussion Techniques.,3c::Please record your observation rating for component 3c: Engaging Students in Learning.,3d::Please record your observation rating for component 3d: Using Assessment in Instruction.,Comments for Domain 3,4a::Please record your observation rating for component 4a: Reflecting on Teaching.,Comments for Domain 4,How effective do you believe this Fellow is compared to other teachers with similar experience (eg- first year Fellows compared to other first year teachers)?,URL Redirect
2,2/13/2017 9:55,2/13/2017 9:55,Partial,,,,English,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,1486997685_58a1c8b5aef280.70150242,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,24.188.118.119,-73.65100098,40.60699844,United States,Island Park,NY,11558,120,Cohort 27,50064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2/13/2017 10:18,2/13/2017 10:20,Partial,,,,English,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,1486999105_58a1ce41ef3d20.58059636,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7",,142.255.65.63,-73.98549652,40.6617012,United States,Brooklyn,NY,11215,2024,Cohort 27,50430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2/13/2017 10:23,2/13/2017 10:24,Partial,,,,English,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,1486999392_58a1cf601808f0.05619274,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7",,142.255.65.63,-73.98549652,40.6617012,United States,Brooklyn,NY,11215,2024,Cohort 27,50430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2/14/2017 11:17,2/14/2017 11:17,Partial,,,,English,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,1487089012_58a32d7487f704.24617989,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,,146.245.134.100,-73.9457016,40.62519836,United States,Brooklyn,NY,11210,2030,Cohort 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2/14/2017 14:39,2/14/2017 15:01,Partial,,,,English,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,1487101157_58a35ce5b88161.62164030,"Mozilla/5.0 (iPad; CPU OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (iPad; CPU OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1",,68.193.91.248,-73.89859772,40.63909912,United States,Brooklyn,NY,11236,2086,Cohort 28,,51318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2/14/2017 14:57,2/14/2017 14:58,Partial,,,,English,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,1487102256_58a3613021bf65.46575780,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,96.224.202.101,-73.60820007,40.65390015,United States,Baldwin,NY,11510,2083,Cohort 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2/15/2017 9:31,2/15/2017 9:32,Complete,,,,English,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,1487169056_58a4662082a745.23873045,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,24.188.118.119,-73.65100098,40.60699844,United States,Island Park,NY,11558,953,Cohort 27,51045,,K404,,,,,,,6,,,,,,,,,,,,Special Education,2/8/2017,Effective,Developing+,Developing+,,Effective,Effective,Effective,,Effective,Effective,Developing+,,Effective,,Average,
18,2/15/2017 9:33,2/15/2017 9:36,Complete,,,,English,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,1487169210_58a466ba088f72.40677672,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,24.188.118.119,-73.65100098,40.60699844,United States,Island Park,NY,11558,953,Cohort 27,50198,,K383,,,,,,,,7,,,,,,CTT/ICT,,,,,Special Education,2/3/2017,Effective,Effective,Effective,,Effective,Effective+,Effective,,Effective,Effective,Effective,,Effective,,Average,
19,2/16/2017 8:17,2/16/2017 8:19,Complete,,,,English,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,1487251069_58a5a67d2de518.98321657,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,24.188.118.119,-73.65100098,40.60699844,United States,Island Park,NY,11558,953,Cohort 27,50337,,K045,,,,,,,,7,8,,,,,,Self-contained,,,,Special Education,2/3/2017,Effective,Effective,Developing+,,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,,Average,
20,2/16/2017 8:19,2/16/2017 8:21,Complete,,,,English,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,https://www.surveygizmo.com/s3/3335279/FDI-2016-17-BC-R3,1487251195_58a5a6fbaf0020.39496213,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,24.188.118.119,-73.65100098,40.60699844,United States,Island Park,NY,11558,953,Cohort 27,50034,,K383,,,,,,,,7,,,,,,CTT/ICT,,,,,Special Education,2/3/2017,Effective,Effective,Effective+,,Effective,Effective,Effective,,Effective,Effective,Effective+,,Effective+,,Above Average,
