Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Please select your Field Consultant ID. ,Which cohort is this Fellow a member of?,Please select the Cohort 27 Fellow ID that corresponds to the Fellow you observed.,Please select the Cohort 28 Fellow ID that corresponds to the Fellow you observed.,Please enter the school DBN as a letter and 3-digit number (e.g. X232 or K021),K:Please enter the grade level(s) of the observed lesson. Select all that apply. ,1:Please enter the grade level(s) of the observed lesson. Select all that apply. ,2:Please enter the grade level(s) of the observed lesson. Select all that apply. ,3:Please enter the grade level(s) of the observed lesson. Select all that apply. ,4:Please enter the grade level(s) of the observed lesson. Select all that apply. ,5:Please enter the grade level(s) of the observed lesson. Select all that apply. ,6:Please enter the grade level(s) of the observed lesson. Select all that apply. ,7:Please enter the grade level(s) of the observed lesson. Select all that apply. ,8:Please enter the grade level(s) of the observed lesson. Select all that apply. ,9:Please enter the grade level(s) of the observed lesson. Select all that apply. ,10:Please enter the grade level(s) of the observed lesson. Select all that apply. ,11:Please enter the grade level(s) of the observed lesson. Select all that apply. ,12:Please enter the grade level(s) of the observed lesson. Select all that apply. ,"CTT/ICT:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","Self-contained:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","SETTS:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","D75:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","N/A:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","What is the Fellow’s assigned university subject area? (Please select the subject they are training in at their university, NOT the subject they are teaching during this observation.)",What was the date of this observation?,1a: :Please record your observation rating for component 1a: Demonstrating Knowledge of Content and Pedagogy.,1c::Please record your observation rating for component 1c: Setting Instructional Outcomes.,1e::Please record your observation rating for component 1e: Designing Coherent Instruction.,Comments for Domain 1,2b: :Please record your observation rating for component 2b: Establishing a Culture for Learning.,2c::Please record your observation rating for component 2c: Managing Classroom Procedures.,2d::Please record your observation rating for component 2d: Managing Student Behavior.,Comments for Domain 2,3b::Please record your observation rating for component 3b: Using Questioning and Discussion Techniques.,3c::Please record your observation rating for component 3c: Engaging Students in Learning.,3d::Please record your observation rating for component 3d: Using Assessment in Instruction.,Comments for Domain 3,4a::Please record your observation rating for component 4a: Reflecting on Teaching.,Comments for Domain 4,How effective do you believe this Fellow is compared to other teachers with similar experience (eg- first year Fellows compared to other first year teachers)?,URL Redirect
1,2/14/2017 10:04,2/14/2017 15:20,Complete,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1487084687_58a31c8f613259.42953217,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Vers","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",,24.47.213.14,-73.93609619,40.67139816,United States,Brooklyn,NY,11213,1782,Cohort 27,50778,,K591,,,,,,,,,,,10,,,CTT/ICT,,,,,ESL,2/6/2017,Developing+,Effective,Effective,Frid collaborates well with his teacher to scaffold instruction and objectives intentionally for students he supports. He demonstrates ESL strategies in his support specifically in differentiating questioning and instructions for tasks.,Developing+,Developing+,Developing+,Frid has great rapport with students. He will work on identifying transitions in his class and enriching procedures during those times.,Effective,Effective,Effective,Frid incorporates ESL and language differentiation in the social studies support I observed. He provided graphic organizers as well as opportunities for students to connect what they are learning to their everyday lives.,Highly Effective,Frid is very reflective in his teaching and seeks out support and feedback.,Average,
3,2/14/2017 11:10,2/14/2017 11:14,Complete,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1487088621_58a32bed9d4fc2.50711634,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",,24.47.213.14,-73.93609619,40.67139816,United States,Brooklyn,NY,11213,1782,Cohort 27,51131,,M165,,,,,,,6,7,8,,,,,CTT/ICT,,,,,ESL,1/18/2017,Developing+,Developing+,Developing+,Xiomara consistently uses creative strategies such as stations and modeling to work with the diverse levels of her students. She will work intentionally on the pacing of her sudents to meet them where they are as well as scaffolding questioning to check for the understanding of her students throughout the lesson.,Developing+,Developing+,Developing+,Xiomara will work on identifying the transitions within her lesson to then create more routines and procedures there. She will align those routines and procedures directly to her creative behavior management systems.,Developing+,Developing+,Developing+,Xiomara provides opportunities for students to be leaders in her classroom by teaching content back to their peers. In this way she also builds community in her classroom.,Highly Effective,"Xiomara is extremely reflective in her teaching, seeks feedback and guidance as she grows as a teacher.",Average,
4,2/14/2017 11:17,2/14/2017 11:24,Complete,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1487089047_58a32d97c33722.57228840,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",,24.47.213.14,-73.93609619,40.67139816,United States,Brooklyn,NY,11213,1782,Cohort 27,50934,,PS 145,,1,2,,,,,,,,,,,CTT/ICT,,,,,ESL,01/24/0017,Developing+,Developing+,Developing+,Christopher is working on aligning main activities to the direct objective of the lesson. He does a good job of engaging prior knowledge and scaffolding material so there is a foundational understanding of concepts before moving forward.,Developing+,Developing+,Developing+,"Christopher will work on managing and identifying transitions within his lesson. For example, there will be more structure and routines around material hand outs and aligning this with places in the room and student leadership.",Developing+,Developing+,Developing+,Christopher asks guided questions throughout his lesson but will plan on questiong that aligns more with foundational understanding of concepts when he realilzes that students are not understanding material.,Highly Effective,Christopher is very reflective and always tries out new strategies in his classroom. He is open and responsive to feedback.,Average,
6,2/14/2017 12:49,2/14/2017 12:53,Complete,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1487094541_58a3430d1d1779.34862581,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",,24.47.213.14,-73.93609619,40.67139816,United States,Brooklyn,NY,11213,1782,Cohort 28,,51244,K327,K,1,2,,,,,,,,,,,CTT/ICT,,,,,Special Education,2/10/2017,Effective,Effective,Effective,"Nyemah really scaffolded and differentiated her instruction so students were not just learning content, they were embodying their learning by role playing of what they were reading.",Effective,Effective,Effective,Nyemah will continue to identify transitions in her lessons to incorporate procedures and structure as well as look at her lessons through an SEL differentiated lense as much as an academic lense.,Developing+,Developing+,Effective,Nyemah tries to meet each child where he/she is at however she will work on scaffolding her questions if her students are not meeting the objective.,Highly Effective,Nyemah is highly reflective in her practice.,Average,
9,2/15/2017 8:31,2/15/2017 8:50,Complete,,,,English,https://outlook.live.com/,https://outlook.live.com/,1487165485_58a4582d208397.45136723,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,69.114.200.8,-73.96620178,40.62250137,United States,Brooklyn,NY,11230,2062,Cohort 27,50572,,K442,,,,,,,,7,,,,,,,,,,,Spanish,2/1/2017,Highly Effective,Effective+,Effective+,Teacher's lesson plan and instruction are technology-based. Lessons address language development through computer programs and data accumulation.,Effective+,Effective+,Effective+,A significant number of students in this class are inclusion special education. There are two paraprofessionals assigned to travel with this group and provide assistance. There is evidence of established classroom management routines.,Effective+,Effective+,Highly Effective,Students travel and work with their laptops. Programs and technology based activities provide teacher with data on performance and achievement.,Highly Effective,Teacher expressed that he was content with the outcomes of the lesson. He observed that most students were on task.,Above Average,
10,2/15/2017 11:53,2/15/2017 11:56,Partial,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1487177580_58a4876c87b172.83727056,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safar","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,104.162.81.185,-74.02880096,40.62340164,United States,Brooklyn,NY,11209,2059,Cohort 27,50375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2/16/2017 14:40,2/16/2017 14:43,Complete,,,,English,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,https://www.surveygizmo.com/s3/3335313/FDI-2016-17-CCNY-R3,1487274036_58a60034017b19.44182648,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:51.0) Gecko/20100101 Firefox/51.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:51.0) Gecko/20100101 Firefox/51.0,,67.247.34.92,-73.96530151,40.80059814,United States,New York,NY,10025,1802,Cohort 27,50769,,M392,,,,,,,,,,,10,,,,,,,N/A,Spanish,2/16/2017,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing,Developing+,Developing+,,Developing+,,Average,
12,2/21/2017 8:19,2/21/2017 8:37,Complete,,,,English,https://outlook.live.com/,https://outlook.live.com/,1487683185_58ac3e718c0944.39774157,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,69.114.200.8,-73.96620178,40.62250137,United States,Brooklyn,NY,11230,2062,Cohort 28,,51252,R030,,,,,4,,,,,,,,,,,,,N/A,ESL,2/8/2017,Effective,Effective,Effective,"Teacher is in pull-out ENL instruction model. She was working with two students. Lesson reviewed the use of action words, and vocabulary used in content classes. Students practiced orally and in writing.",Effective,Effective,Effective,Teacher shares classroom with two other teachers. Students were attentive and on-task.,Effective,Effective,Effective,Teacher reviewed and assessed student written work and observed student participation. Lesson focused on structure in which students showed difficulty before.,Effective+,"Teacher expressed that the classroom configuration makes instruction difficult, however students thrive and show progress.",Average,
13,2/21/2017 8:38,2/21/2017 8:52,Complete,,,,English,https://outlook.live.com/,https://outlook.live.com/,1487684333_58ac42ed3c2267.48662414,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,69.114.200.8,-73.96620178,40.62250137,United States,Brooklyn,NY,11230,2062,Cohort 27,50740,,K485,,,,,,,,,,,10,,,,,,,N/A,Spanish,2/10/2017,Highly Effective,Highly Effective,Highly Effective,"Lesson plan focused on formation/conjugation of -ar verbs, and its use in eating preferences expressions. It contained listening, speaking, reading and writing activities.",Effective+,Effective+,Effective+,"Classroom is decorated with student work and language related posters. Teacher walks around the classroom and reminds students to pay attention, when necessary. Students volunteered to participate.",Effective+,Effective+,Effective+,Students worked in pairs asking each other questions. Activities contained opportunity to address all four language modalities that were discussed orally. Lesson ended with an exit slip.,Effective+,"Teacher expressed that he thought the lesson went well, but that it needed adjustments that he would address the next day.",Above Average,
14,2/21/2017 8:54,2/21/2017 9:04,Complete,,,,English,https://outlook.live.com/,https://outlook.live.com/,1487685241_58ac4679c49a55.69317847,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,69.114.200.8,-73.96620178,40.62250137,United States,Brooklyn,NY,11230,2062,Cohort 28,,51238,Q460,,,,,,,,,,,10,,,,,,,N/A,ESL,2/13/2017,Effective+,Effective+,Effective+,Teacher designed a lesson plan to provide ENL language support in a social studies class (co-teaching). This was a double period class.,Effective,Effective,Effective,This was a large group that needed to be constantly reminded to be quiet and pay attention. Students worked on assignments and participated voluntarily.,Effective,Effective,Effective,Lesson included viewing a video clip on bullying that started class discussion on the issue. The lesson ended with an exit slip.,Effective,This was the first time teacher worked with this group. He indicated that he needs to design strategies to eliminate distraction and interruptions.,Average,
