TT2ID,c27id,uni,FC_ID,Cohort,oct_ob_location,oct_Grade,oct_Setting,oct_Subject,oct_obs_date,oct_dom1a,oct_dom1c,oct_dom1e,oct_dom2b,oct_dom2c,oct_dom2d,oct_dom3b,oct_dom3c,oct_dom3d,oct_dom4a,oct_rel_effect
0018fc3f-b2a8-4057-8dbe-a51900eb161e,50399,Hunter SPED,2039,Cohort 27,x329,10,CTT/ICT,Special Education,16-Sep-16,Effective,Developing,Developing,Effective,Developing+,Developing+,Developing,Developing,Developing,Effective,Average
007c3609-6f66-4a0f-9bad-a504014f1387,50523,Hunter SPED,2041,Cohort 27,X432,9,CTT/ICT,Special Education,19-Sep-16,Developing,Developing,Developing,Developing,Developing,Developing+,Developing,Developing,Developing,Developing,Average
0082c71e-a067-4dc1-9236-a5b701401ac4,51195,Brooklyn College,1846,,,7,N/A,,19-Oct-16,Ineffective,Ineffective,Ineffective,Ineffective,Ineffective,Ineffective,Ineffective,Ineffective,Ineffective,Developing,Below Average
008e6aa9-0150-4a02-b302-a3b1011c9209,50118,Pace University,918,Cohort 27,97X176,2,Self-contained,D75,7-Oct-16,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Effective,Average
00bf00ef-7045-4f2a-8d7c-a45e00b72076,50297,St. John's University,1953,Cohort 27,M400,10,CTT/ICT,Special Education,27-Sep-16,Developing+,Developing,Developing+,Developing+,Developing+,Developing+,Developing+,Developing,Developing,Developing,Average
0109b3fc-d62a-42d0-a9f9-a425011b7c78,50250,Hunter SPED,250,Cohort 27,M47,9,Self-contained,Special Education,22-Sep-16,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Average
01854f60-38e1-48a0-bc20-a48900c83407,50309,St. John's University,1128,Cohort 27,K605,9,Self-contained,English,27-Sep-16,Developing+,Developing,Developing,Developing,Developing,Developing,Developing+,Developing+,Developing+,Developing+,Average
01f0c615-568f-4684-abd9-a561011a4cc0,50818,Long Island University,1711,Cohort 27,M372,10,Self-contained,Special Education,14-Oct-16,Effective,Effective,Effective,Effective,Effective,Effective,Developing+,Effective,Developing,Developing,Average
02361b40-9914-4089-9f9d-a55600dcb6fa,50592,Lehman College,2007,Cohort 27,Q236,10,,Science,5-Oct-16,Highly Effective,Effective,Effective,Effective,Effective,Effective,Developing+,Effective,Effective,Effective,Above Average
0242ea7e-6cfa-4b83-8db3-a1940121c4ac,50044,Brooklyn College,166,,,10,CTT/ICT,,20-Sep-16,Effective,Effective,Effective,Effective,Effective,Effective,Developing+,Effective,Developing+,Effective,Above Average
02623849-122f-40c5-a8be-a2ce009be844,50076,Pace University,1853,Cohort 27,K753,10,D75,D75,18-Oct-16,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Average
028181d2-e283-4973-b707-a23b00f7edf3,50022,Hunter TESOL,1918,Cohort 27,M017,1,N/A,Bilingual,26-Sep-16,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Effective,Average
