trainingacademy,dom2_dom3_avg
K227 J.H.S. 227 Edward B. Shallow,1.5
K053 P.S. K053,1.8333333333333335
K549 Bushwick School for Social Justice,1.8333333333333335
X089 P.S. 089 Bronx,1.8333333333333335
K373 P.S. 373 - Brooklyn Transition Center,2.0
K422 Spring Creek Community School,2.0
K549 Bushwick School for Social Justice,2.0
K562 Evergreen Middle School,2.0
K671 Mott Hall Bridges,2.0
M319 M.S. 319 Maria Teresa,2.0
Q296 Pan American International High School,2.0
X161 P.S. 161 Juan Ponce De Leon School,2.0
X176 P.S. X176,2.0
X303 I.S. X303 Leadership & Community Service,2.0
X556 Bronx Park Middle School,2.0
X721 P.S. X721 - Stephen McSweeney School,2.0
X323 Bronx Writing Academy,2.1666666666666665
M079 Dr. Horan School M079,2.166666666666667
K071 Juan Morel Campos Secondary School,2.333333333333333
M057 James Weldon Johnson,2.333333333333333
X168 P.S. 168,2.333333333333333
X323 Bronx Writing Academy,2.333333333333333
K549 Bushwick School for Social Justice,2.5
M028 P.S. 028 Wright Brothers,2.5
M319 M.S. 319 Maria Teresa,2.5
X089 P.S. 089 Bronx,2.5
X296 South Bronx Academy for Applied Media,2.5
X012 P.S. X012 Lewis and Clark School,2.6666666666666665
X323 Bronx Writing Academy,2.6666666666666665
X331 The Bronx School of Young Leaders,2.6666666666666665
X352 The Vida Bogart School for All Children,2.6666666666666665
K227 J.H.S. 227 Edward B. Shallow,2.666666666666667
K373 P.S. 373 - Brooklyn Transition Center,2.666666666666667
K554 All City Leadership Secondary School,2.666666666666667
M079 Dr. Horan School M079,2.666666666666667
M369 Urban Assembly School for the Performing Arts,2.666666666666667
X089 P.S. 089 Bronx,2.666666666666667
X228 MS 228 Jonas Bronck Academy,2.666666666666667
X274 THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,2.666666666666667
X508 Bronxdale High School,2.666666666666667
M369 Urban Assembly School for the Performing Arts,2.833333333333333
X508 Bronxdale High School,2.833333333333333
X556 Bronx Park Middle School,2.833333333333333
M555 Central Park East HS,2.8333333333333335
K028 P.S. 028 The Warren Prep Academy,3.0
K220 J.H.S. 220 John J. Pershing,3.0
K373 P.S. 373 - Brooklyn Transition Center,3.0
K422 Spring Creek Community School,3.0
K562 Evergreen Middle School,3.0
K671 Mott Hall Bridges,3.0
M028 P.S. 028 Wright Brothers,3.0
M038 P.S. 38 Roberto Clemente,3.0
M079 Dr. Horan School M079,3.0
M555 Central Park East HS,3.0
X012 P.S. X012 Lewis and Clark School,3.0
X101 M.S. X101 Edward R. Byrne,3.0
X323 Bronx Writing Academy,3.0
X556 Bronx Park Middle School,3.0
M052 J.H.S. 052 Inwood,3.1666666666666665
K422 Spring Creek Community School,3.166666666666667
M079 Dr. Horan School M079,3.166666666666667
M319 M.S. 319 Maria Teresa,3.166666666666667
X323 Bronx Writing Academy,3.166666666666667
X721 P.S. X721 - Stephen McSweeney School,3.166666666666667
K053 P.S. K053,3.333333333333333
K422 Spring Creek Community School,3.333333333333333
K562 Evergreen Middle School,3.333333333333333
M038 P.S. 38 Roberto Clemente,3.333333333333333
X101 M.S. X101 Edward R. Byrne,3.333333333333333
M028 P.S. 028 Wright Brothers,3.5
M057 James Weldon Johnson,3.5
M319 M.S. 319 Maria Teresa,3.5
Q319 Village Academy,3.5
X168 P.S. 168,3.5
X323 Bronx Writing Academy,3.5
X352 The Vida Bogart School for All Children,3.5
X556 Bronx Park Middle School,3.5
M079 Dr. Horan School M079,3.6666666666666665
K671 Mott Hall Bridges,3.666666666666667
Q226 J.H.S. 226 Virgil I. Grissom,3.666666666666667
X161 P.S. 161 Juan Ponce De Leon School,3.666666666666667
X228 MS 228 Jonas Bronck Academy,3.666666666666667
K053 P.S. K053,3.833333333333333
K562 Evergreen Middle School,3.833333333333333
M314 Muscota,3.833333333333333
M038 P.S. 38 Roberto Clemente,4.0
M079 Dr. Horan School M079,4.0
Q226 J.H.S. 226 Virgil I. Grissom,4.0
X089 P.S. 089 Bronx,4.0
X303 I.S. X303 Leadership & Community Service,4.0
K028 P.S. 028 The Warren Prep Academy,4.166666666666666
Q137 MS 137 Q,4.166666666666666
X721 P.S. X721 - Stephen McSweeney School,4.166666666666666
K373 P.S. 373 - Brooklyn Transition Center,4.166666666666667
M057 James Weldon Johnson,4.333333333333334
X176 P.S. X176,4.666666666666666
M028 P.S. 028 Wright Brothers,5.0
Q319 Village Academy,5.0
X032 P.S. 032 Belmont,NA
X296 South Bronx Academy for Applied Media,NA
X303 I.S. X303 Leadership & Community Service,NA
X331 The Bronx School of Young Leaders,NA
