uni,FC_ID,Cohort,C27id,oct_ob_location,oct_Grade,oct_Setting,oct_Subject,oct_obs_date,oct_dom1a,oct_dom1c,oct_dom1e,oct_dom1_comments,oct_dom2b,oct_dom2c,oct_dom2d,oct_dom2_comments,oct_dom3b,oct_dom3c,oct_dom3d,oct_dom3_comments,oct_dom4a,oct_dom4_comments,oct_rel_effect,dom1_avg,dom2_avg,dom3_avg,dom4_avg,FDIoct_overall,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1816,Cohort 27,50000,X144,8,N/A,Math,28-Sep-16,Developing+,Developing+,Developing+,Mr. Rogers has solid content knowledge.  More attention to grouping and scaffolds need to be taken into consideration to meet the needs of varying student ability.,Developing+,Effective+,Effective+,Mr. Rogers has excellent classroom management skills and has established a very positive rapport with his students.  They are respectful to one another and to him and self regulate.,Developing+,Developing+,Effective,Questioning techniques need further development.  Assessment is ongoing and comprehensive.,Effective+,Mr. Rogers is serious - minded about improving his teaching so that his students grow both academically and behaviorally.,Above Average,3,4.333333,3.333333,5,3.833333,,,,,,,,,,,,,,,,,,,,,,,,,
City College,2060,Cohort 27,50001,Q143,3,CTT/ICT,ESL,26-Sep-16,Developing,Developing+,Developing+,"Ms. Tusa is collaborating and planning with the special education teacher she has been partnered with.  She is building an awareness of the curriculum as indicated by her plans.  Ms. Tusa was reminded to always begin a lesson with a clear, measurable learning objective.  ",Effective,Effective,Developing+,"It is evident that Ms. Tusa has built in systems of rituals and classroom management techniques.  Although classroom routines functioned smoothly, Ms. Tusa must reinforce them in order for students to respond to them appropriately.  Her interactions with students demonstrates caring and respect.",Developing+,Developing+,Developing+,"Ms. Tusa had most students engaged in the read aloud.  There needs to be more opportunities for students to talk and support each other in partnerships.  As Ms. Tusa continues to develop effective questioning techniques, she must be prepared to take a ""back seat"" and give students time to wonder and explore.  ",Effective,Ms. Tusa was receptive during our conversation.  She cited several ways she is building on improving her questioning/discussion techniques.  She has started off the school year with a positive outlook in terms of being partnered up in an ICT setting.  She also is looking forward to more professional development opportunities on Monday afternoons as well as collaborating in teacher teams.  ,Average,2.666667,3.666667,3,4,3.333333,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1714,Cohort 27,50002,m528,8,CTT/ICT,Special Education,28-Sep-16,Developing+,Developing+,Developing,,Developing+,Effective,Effective,,Developing+,Effective,Developing+,,Effective,,Average,2.666667,3.666667,3.333333,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
City College,2061,Cohort 27,50003,x440,11,N/A,ESL,7-Oct-16,Developing+,Developing,Developing,,Ineffective,Developing,Developing+,,Ineffective,Ineffective,Developing,,Developing+,,Average,2.333333,2,1.333333,3,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter TESOL,1934,Cohort 27,50004,15K094,3,,ESL,23-Sep-16,Developing+,Developing,Developing+,,Developing+,Developing+,Developing+,,Developing,Developing+,Developing,,Effective,,Average,2.666667,3,2.333333,4,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,2066,Cohort 27,50005,17K539,9,N/A,Science,7-Oct-16,Developing+,Developing,Developing,Fellow's learning activities could be more rigorous.,Developing,Developing,Developing+,Fellow uses relationship building to set expectations for students.,Developing,Developing,Developing,Fellow's questioning techniques could be geared to challenge students better.,Developing+,Fellow is extremely reflective.,Above Average,2.333333,2.333333,2,3,2.166667,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1704,Cohort 27,50007,K218,6,CTT/ICT,Special Education,24-Oct-16,Developing,Developing+,Developing,,Developing,Developing+,Developing+,,Developing,Developing+,Developing+,,Developing+,,Average,2.333333,2.666667,2.666667,3,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1717,Cohort 27,50011,30Q445,10,CTT/ICT,Special Education,29-Sep-16,Developing,Developing,Developing,Instructional groups support learning with scaffolds provided as needed.,Developing,Developing+,Developing+,Established rituals and routines are evident.,Developing,Developing,Developing,Questioning and discussion is basically teacher led.,Developing,The teacher has a general idea about the effectiveness of the lesson.  The teacher is finding it difficult to plan with three different co-teachers.,Average,2,2.666667,2,2,2.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter TESOL,1914,Cohort 27,50012,k001,4,Self-contained,Bilingual,7-Oct-16,Developing,Developing,Effective,"The planning of the instruction is coherent and follows a logical sequence but candidate does not yet address varying needs, proficiency / level of students.  ",Developing+,Effective,Developing+,Routines and rituals are in place but at times students lose focus and non accountable talk takes place in the back of the room.,Developing,Developing,Ineffective,There is no evidence in the lesson plan or the delivery of the lesson to indicate that assessments are taking place. ,Developing+,Candidate plans effectively and the instruction is aligned to the preparation of the lesson plan.,Average,2.666667,3.333333,1.666667,3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,250,Cohort 27,50013,M35,9,D75,Special Education – D75,7-Oct-16,Developing+,Developing+,Developing+,"Shydia has an excellent grasp of her subject, she is creative in her delivery.",Developing+,Developing+,Developing+,She has made an excellent beginning in managing classroom routines and behavior.  She is challenged by the inappropriate behaviors of her paraprofessional which she is working on.,Developing+,Developing+,Developing+,She uses questioning and different ways for student expression.,Developing+,,Above Average,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
