Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Please select your Field Consultant ID. ,Which cohort is this Fellow a member of?,Please select the Cohort 27 Fellow ID that corresponds to the Fellow you observed.,Please select the Cohort 28 Fellow ID that corresponds to the Fellow you observed.,Please enter the school DBN as a letter and 3-digit number (e.g. X232 or K021),K:Please enter the grade level(s) of the observed lesson. Select all that apply. ,1:Please enter the grade level(s) of the observed lesson. Select all that apply. ,2:Please enter the grade level(s) of the observed lesson. Select all that apply. ,3:Please enter the grade level(s) of the observed lesson. Select all that apply. ,4:Please enter the grade level(s) of the observed lesson. Select all that apply. ,5:Please enter the grade level(s) of the observed lesson. Select all that apply. ,6:Please enter the grade level(s) of the observed lesson. Select all that apply. ,7:Please enter the grade level(s) of the observed lesson. Select all that apply. ,8:Please enter the grade level(s) of the observed lesson. Select all that apply. ,9:Please enter the grade level(s) of the observed lesson. Select all that apply. ,10:Please enter the grade level(s) of the observed lesson. Select all that apply. ,11:Please enter the grade level(s) of the observed lesson. Select all that apply. ,12:Please enter the grade level(s) of the observed lesson. Select all that apply. ,"CTT/ICT:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","Self-contained:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","SETTS:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","D75:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","N/A:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","What is the Fellow’s assigned university subject area? (Please select the subject they are training in at their university, NOT the subject they are teaching during this observation.)",What was the date of this observation?,1a: :Please record your observation rating for component 1a: Demonstrating Knowledge of Content and Pedagogy.,1c::Please record your observation rating for component 1c: Setting Instructional Outcomes.,1e::Please record your observation rating for component 1e: Designing Coherent Instruction.,Comments for Domain 1,2b: :Please record your observation rating for component 2b: Establishing a Culture for Learning.,2c::Please record your observation rating for component 2c: Managing Classroom Procedures.,2d::Please record your observation rating for component 2d: Managing Student Behavior.,Comments for Domain 2,3b::Please record your observation rating for component 3b: Using Questioning and Discussion Techniques.,3c::Please record your observation rating for component 3c: Engaging Students in Learning.,3d::Please record your observation rating for component 3d: Using Assessment in Instruction.,Comments for Domain 3,4a::Please record your observation rating for component 4a: Reflecting on Teaching.,Comments for Domain 4,How effective do you believe this Fellow is compared to other teachers with similar experience (eg- first year Fellows compared to other first year teachers)?,URL Redirect
8,2/11/2017 8:53,2/11/2017 9:05,Complete,,,,English,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,1486821185_589f17418698c6.14391541,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,24.47.113.215,-73.52709961,40.66870117,United States,Bellmore,NY,11710,1859,Cohort 27,50287,,M094,,,,,,,,,,9,10,11,12,,,,D75,,Special Education - D75,2/8/2017,Effective+,Highly Effective,Highly Effective,Kai's lesson was well developed and delivered.  Kai had good knowledge of what he was teaching and what he was expecting from his students.,Highly Effective,Effective+,Effective+,"There is an excellent environment for learning established.  There is a great deal of respect for student to student and teacher to student and vice-versa.  There is a cohesion of expectations from all adults in the classroom.  Students were well engaged, accommodations and modifications were made as necessary.  There is a warmth one feels when they walk into the classroom.  During this lesson, there were no behavior outsbursts.  Students definitely are aware of procedures and what is expected of them.",Effective+,Highly Effective,Effective+,"Kai causes his students to think critically.  Even students that had the same answer, he asked them to find another term to use.  This lesson was highly engaging and allowed students to work together, as well as individually.  Students also were capable of using their Airbooks as a tool.  Kai was constantly assessing his students by circulating amongst them and asking them questions to be sure they had mastery.  His questions caused student to think critically and were used as part of his assessment of their understanding of the lesson.",Highly Effective,Kai is always reflecting on his teaching and being aware of the mastery of the information taught.  He then using this information for his next steps.,Top 10%,
9,2/11/2017 9:11,2/11/2017 9:23,Complete,,,,English,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,1486821973_589f1a55965e24.17521533,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,24.47.113.215,-73.52709961,40.66870117,United States,Bellmore,NY,11710,1859,Cohort 27,50851,,M094,,,,,4,5,6,,,,,,,,Self-contained,,D75,,Special Education - D75,2/8/2017,Effective+,Highly Effective,Effective+,"Gabrielle has established a safe, caring environment.  Her lesson was well developed and delivered.  She was well prepared with all materials needed.  She also made this lesson relevant to her students using materials they were all familiar with.  She knew exactly where this lesson was heading and what the expected outcomes were.",Effective+,Effective,Effective,"Gabrielle's classroom is print rich, very colorful and student centered.  She has a behavior management system in place, that the students are all aware of and buy into.  The students were so engaged that their were no behavior management problems during this lesson.  Students followed routines and Gabrielle used transition time wisely.  The rules are posted and students are expected to follow them.  The flow of the day also helps create a culture of learning.  Gabrielle has an excellent rapport with her students.",Effective,Effective+,Effective+,"Gabrielle encouraged students to work with partners to help accomplish the task.  Students were highly engaged in this activity and were involved from the beginning of the lesson until the end.  Gabrielle worked with each table to be sure the students were achieving mastery, thus assessing what her next steps need to be.",Effective+,Gabrielle always reflects well on her lessons and takes the information learned to develop her next lessons.,Above Average,
10,2/11/2017 9:29,2/11/2017 9:41,Complete,,,,English,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,1486823042_589f1e82dad4d1.99639182,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,24.47.113.215,-73.52709961,40.66870117,United States,Bellmore,NY,11710,1859,Cohort 27,50963,,M094,,,,,,,,,,9,10,11,12,,,,D75,,Special Education - D75,2/8/2017,Effective,Effective,Effective,Nicole knows her content area and developed a good lesson with an expected outcome.  Nicole tends to 'stick to the script' and misses out on teachable moments.,Effective+,Effective,Effective,"Nicole had no difficulties with managing student behavior as this lesson was highly engaging.  She has developed better classroom management skills, but has room for improvement.  Her classroom layout has changed for the better, giving her more space and allowing for more computers.  There are reference tables and student work displayed.  She has established a very visual word wall.  She has a good rapport with her students.",Effective,Effective+,Effective,"Nicole needs to work on her discussion techniques.  She doesn't ask students to think further upon the questions asked.  She likes to follow her script, even though students asked very good questions, but did not got responses. This particular lesson was very engaging and interactive.  There was group work,individual work and whole class activities.  The assignment was very relevant to the students.  She was using this lesson as an assessment of what students learned about measurement and how well they could properly use a ruler.  She stated that she would use this information in creating future lessons.",Effective,"Nicole does reflect on her teaching, even though she has a hard time accepting constructive criticism.  She does listen to it and follow through on it, but has difficulty accepting it at first.",Average,
12,2/11/2017 16:35,2/11/2017 17:27,Complete,,,,English,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,1486848910_589f838e1dfd98.02759179,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17",,24.102.74.163,-73.93540192,40.7397995,United States,Sunnyside,NY,11104,1854,Cohort 27,50946,,Q277@Q311,,,,,,,,7,8,9,10,,,,,,D75,,Special Education - D75,2/1/2017,Effective,Effective,Effective+,"Fizza's science mini-lesson on static electricity was carefully constructed and implemented to include multi-sensory, visual, auditory, kinesthetic, and differentiated learning activities, including four versions of the student activity worksheets to align with each student's linguistic skills (more challenging worksheets with questions and multiple choice responses for the student who can read, fill-in the-blank with words for the student who can read and write with help, and two versions using PECS symbols to help students identify the steps in the electricity experiment for pre-verbal students who are not readers.",Effective+,Effective,Effective,"Student behavior has generally been appropriate.  Using a combination of consistent positive reinforcement with firm, but respectful and consistent communication of established standards of behavior has made a big difference in modifying the most inappropriate misbehavior.",Effective,Effective,Effective+,"Ms. Siddiqui regularly uses ongoing daily assessments for small group and individual instruction, resulting in accurate feedback that advances individual student learning and helps to guide lesson design and planning.",Effective+,"Ms. Siddiqui makes an accurate and thoughtful assessment of her lesson's effectiveness.  She continues to work on enhancing lesson design through fine-tuning of questioning techniques, individual student assessments to drive differentiated instruction, and accessing age-appropriate resources for work station task kits to support student learning styles and enhance greater independence.",Above Average,
13,2/11/2017 18:48,2/11/2017 18:58,Complete,,,,English,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,1486856555_589fa16ba04965.22127288,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,24.47.113.215,-73.52709961,40.66870117,United States,Bellmore,NY,11710,1859,Cohort 28,,51203,Q752,,,,,,,,,,9,10,11,12,,,,D75,,Special Education - D75,2/7/2017,Developing+,Effective,Effective,Kamara's lesson was well developed and delivered.  Kamara had good knowledge of what she was teaching and what she was expecting from her students.  She needed to be able to incorporate some of the students'questions into the class discussion.  She missed a few opportunities for 'teachable moments'.,Effective+,Effective+,Effective+,"It is apparent that Kamara has established routines in the classroom, as students knew what to do when entering her room.  She has established a very warm learning environment that is safe and caring.  Her lesson was engaging and thus there were no behavior problems.",Developing+,Developing+,Effective,"Kamara involved her students in the lesson, by asking them to read to each other aloud and by offering questions for discussion.  Students were engaged throughout the lesson.  She needs to look for and use 'teachable moments' and not solely follow a script. Kamara did questioning students throughout the lesson, checking for understanding.  Students were also given exit tickets to be sure they understood what was taught and were given appropriate homework.",Effective,Kamara reflected on the lesson and felt it went well.  She also discussed with me that the atmosphere took time to create.  I acknowledged the fact that a good learning environment had been created.,Average,
14,2/12/2017 9:06,2/12/2017 9:08,Complete,,,,English,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,1486908338_58a06bb27aa785.04341295,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,24.188.118.119,-73.65100098,40.60699844,United States,Island Park,NY,11558,953,Cohort 27,50469,,K753,,,,,,,,,,9,,,,,Self-contained,,D75,,Special Education,1/24/2017,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,Effective,Developing+,,Effective,,Average,
15,2/12/2017 9:11,2/12/2017 9:13,Complete,,,,English,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,1486908554_58a06c8a8931a4.79733625,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,24.188.118.119,-73.65100098,40.60699844,United States,Island Park,NY,11558,953,Cohort 27,50701,,K753,,,,,,,,,,9,,,,,Self-contained,,D75,,Special Education,1/24/2017,Effective,Developing+,Effective,,Effective,Effective,Effective,,Developing+,Developing+,Developing+,,Effective,,Average,
16,2/12/2017 21:11,2/12/2017 21:30,Complete,,,,English,http://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,http://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,1486949388_58a10c0ca60ff1.84956929,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",,73.56.170.32,-80.06639862,26.52529907,United States,Boynton Beach,FL,33472,1845,Cohort 27,50881,,ps771K@225,,,,,,5,,,,,,,,,,,D75,,Special Education - D75,02/10/0017,Highly Effective,Highly Effective,Highly Effective,"teacher created a very fine, coherent lesson.",Effective+,Effective,Effective+,Teacher has fine classroom management skills,Effective,Effective+,Effective,Teacher assesses students verbally as well as by use of worksheets. She is aware of importance of assessment,Highly Effective,Teacher is very reflective and seeks feedback,Above Average,
17,2/12/2017 21:33,2/12/2017 21:46,Complete,,,,English,http://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,http://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,1486953057_58a11a6101ef08.36473775,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",,73.56.170.32,-80.06639862,26.52529907,United States,Boynton Beach,FL,33472,1845,Cohort 27,50820,,98K771,,,,,,,6,7,8,,,,,,,,D75,,Special Education - D75,02/10/0017,Effective,Effective,Effective,"Teacher designed an engaging, coheret lesson",Effective,Effective,Effective,Teacher exhibited fine classroom management skills,Effective,Effective,Effective,Teacher constantly assessed students throughout the lesson,Highly Effective,teacher is very reflective and is anxious to improve his techniques. Seeks feedback and acts ib ut.,Above Average,
18,2/13/2017 8:10,2/13/2017 8:12,Complete,,,,English,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,https://www.surveygizmo.com/s3/3337779/FDI-2016-17-Pace-R3,1486991411_58a1b033af18d4.67470491,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,24.188.118.119,-73.65100098,40.60699844,United States,Island Park,NY,11558,953,Cohort 27,50824,,K753,,,,,,,,,,9,,,,,,,D75,,Special Education,2/1/2017,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,Effective+,Effective,,Effective,,Average,
