DBN,School Name,,EH
07X001,P.S. 001 Courtlandt School,,Yes
07X005,P.S. 5 Port Morris,,Yes
07X154,P.S. 154 Jonathan D. Hyatt,,Yes
07X223,M.S. 223 The Laboratory School of Finance and Technology,,Yes
07X224,P.S./I.S. 224,,Yes
07X296,South Bronx Academy for Applied Media,,Yes
07X381,Bronx Haven High School,,Yes
07X522,Bronx Design and Construction Academy,,Yes
07X527,Bronx Leadership Academy II High School,,Yes
07X547,New Explorers High School,,Yes
07X670,Health Opportunities High School,,Yes
08X048,P.S. 048 Joseph R. Drake,,Yes
08X071,P.S. 071 Rose E. Scala,,Yes
08X072,P.S. 072 Dr. William Dorney,,Yes
08X075,P.S. 75 School of Research and Discovery,,Yes
08X101,M.S. X101 Edward R. Byrne,,Yes
08X107,P.S. 107,,Yes
08X123,J.H.S. 123 James M. Kieran,,Yes
08X130,P.S. 130 Abram Stevens Hewitt,,Yes
08X146,P.S. 146 Edward Collins,,Yes
08X269,Bronx Studio School for Writers and Artists,,Yes
08X293,Renaissance High School for Musical Theater & Technology,,Yes
08X301,M.S. 301 Paul L. Dunbar,,Yes
08X302,M.S. 302 Luisa Dessus Cruz,,Yes
08X305,Pablo Neruda Academy,,Yes
08X312,Millennium Art Academy,,Yes
08X337,The School for Inquiry and Social Justice,,Yes
08X367,"Archimedes Academy for Math, Science and Technology Applications",,Yes
08X371,Urban Institute of Mathematics,,Yes
08X375,The Bronx Mathematics Preparatory School,,Yes
08X405,Herbert H. Lehman High School,,Yes
08X424,The Hunts Point School,,Yes
08X432,Bronx Bridges High School,,Yes
08X448,Soundview Academy for Culture and Scholarship,,Yes
08X452,Bronx Guild,,Yes
08X467,Mott Hall Community School,,Yes
08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",,Yes
08X558,Westchester Square Academy,,Yes
08X562,Blueprint Middle School,,Yes
09X004,P.S./M.S. 004 Crotona Park West,,Yes
09X011,P.S. 011 Highbridge,,Yes
09X022,J.H.S. 022 Jordan L. Mott,,Yes
09X035,P.S. 035 Franz Siegel,,Yes
