teacher_id,experience,exp_cat,degree,salary,score,rating,retained
3001,1,New,MA,35000,204.6760293,Developing,0
3002,4,Novice,MA,38000,233.3192515,Developing,1
3003,12,Mid,MA,46000,205.6742551,Developing,0
3004,31,Career,BA,64000,212.4381383,Developing,0
3005,10,Mid,BA,43000,185.3913217,Minimally Effective,1
3006,10,Mid,BA,43000,255.7189175,Proficient,1
3007,13,Mid,BA,46000,275.9585665,Highly Effective,1
3008,9,Mid,MA,43000,185.0380799,Minimally Effective,1
3009,26,Career,BA,59000,187.9378563,Minimally Effective,1
3010,23,Experienced,BA,56000,240.8564988,Developing,1
3011,3,Novice,MA,37000,183.8740774,Minimally Effective,1
3012,1,New,MA,35000,208.745031,Developing,1
3013,33,Career,MA,69000,180.0806227,Minimally Effective,1
3014,30,Career,BA,63000,216.7309334,Developing,0
3015,6,Novice,MA,40000,229.5804898,Developing,1
3016,1,New,MA,35000,202.6243432,Developing,1
3017,18,Experienced,MA,52000,243.7032664,Developing,0
3018,12,Mid,BA,45000,222.1304392,Developing,0
3019,20,Experienced,MA,54000,230.5899385,Developing,1
3020,22,Experienced,BA,55000,186.2432306,Minimally Effective,1
3021,14,Mid,MA,48000,250.0847152,Proficient,0
3022,29,Career,BA,62000,229.8038655,Developing,1
3023,3,Novice,BA,36000,234.3524303,Developing,1
3024,11,Mid,MA,45000,256.3646133,Proficient,1
3025,23,Experienced,MA,57000,274.0445079,Proficient,1
3026,8,Mid,BA,41000,182.2334817,Minimally Effective,1
3027,12,Mid,BA,47000,224.6522111,Developing,0
3028,19,Experienced,BA,54000,228.686164,Developing,0
3029,30,Career,BA,65000,231.8127761,Developing,1
3030,4,Novice,MA,38000,256.8425702,Proficient,1
3031,32,Career,MA,66000,226.9372649,Developing,1
3032,15,Mid,BA,48000,220.3430615,Developing,1
3033,1,New,BA,34000,200.878281,Developing,0
3034,14,Mid,BA,47000,235.3422261,Developing,1
3035,10,Mid,MA,44000,212.0025243,Developing,1
3036,2,New,BA,35000,197.9213809,Minimally Effective,1
3037,38,Career,BA,71000,209.8077004,Developing,1
3038,2,New,MA,36000,167.8731533,Minimally Effective,1
3039,13,Mid,BA,46000,270.7496432,Proficient,1
3040,6,Novice,BA,39000,216.729808,Developing,0
3041,10,Mid,BA,43000,230.1758509,Developing,1
3042,3,Novice,BA,36000,237.1967281,Developing,1
3043,19,Experienced,BA,52000,247.0227444,Developing,1
3044,2,New,BA,35000,205.3551097,Developing,0
3045,25,Career,BA,58000,255.3707192,Proficient,1
3046,19,Experienced,BA,52000,236.0416532,Developing,1
3047,20,Experienced,MA,54000,240.4201476,Developing,1
3048,3,Novice,MA,37000,265.8702969,Proficient,1
3049,24,Experienced,MA,58000,186.4651045,Minimally Effective,1
3050,1,New,BA,34000,171.5957318,Minimally Effective,1
3051,14,Mid,BA,47000,280.5085997,Highly Effective,1
3052,5,Novice,BA,38000,248.848463,Developing,1
3053,20,Experienced,BA,53000,212.8727572,Developing,1
3054,4,Novice,BA,37000,229.7732724,Developing,1
3055,6,Novice,MA,40000,294.0669246,Highly Effective,0
3056,7,Mid,BA,40000,224.8157486,Developing,1
3057,4,Novice,BA,37000,220.3161212,Developing,0
3058,2,New,BA,35000,144.6382527,Ineffective,1
3059,1,New,BA,34000,245.2892037,Developing,0
3060,8,Mid,BA,41000,258.3133416,Proficient,1
3061,19,Experienced,BA,52000,193.0744591,Minimally Effective,1
3062,5,Novice,MA,39000,217.6571336,Developing,1
3063,1,New,BA,34000,158.6413442,Minimally Effective,0
3064,1,New,MA,35000,182.8068253,Minimally Effective,0
3065,4,Novice,BA,37000,262.2723481,Proficient,1
3066,26,Career,MA,62000,247.7132858,Developing,1
3067,21,Experienced,BA,54000,203.287493,Developing,1
3068,3,Novice,BA,36000,203.1838749,Developing,0
3069,21,Experienced,MA,55000,200.3480454,Developing,0
3070,12,Mid,BA,45000,224.7240846,Developing,1
3071,13,Mid,BA,48000,203.3714685,Developing,1
3072,3,Novice,MA,37000,177.7619675,Minimally Effective,1
3073,2,New,MA,36000,233.3625536,Developing,0
3074,27,Career,BA,60000,239.1937871,Developing,1
3075,28,Career,BA,61000,199.8724243,Minimally Effective,1
3076,1,New,BA,34000,206.7068337,Developing,0
3077,1,New,BA,34000,214.9127311,Developing,1
3078,30,Career,BA,63000,226.6647372,Developing,1
3079,11,Mid,MA,45000,223.6814035,Developing,1
3080,27,Career,MA,61000,227.0677476,Developing,0
