scheduleandshow,value
invited_interview,1528.0
show_interview,1066.0
scheduled_interview,1298.0
no_show_interview,232.0
show_rate_interview30,84.95
schedule_rate_interview30,82.13
invited_interview.1,1925.0
show_interview.1,1362.0
scheduled_interview.1,1647.0
no_show_interview.1,285.0
show_rate_interview14,82.7
schedule_rate_interview14,85.56
invited_initial,1346.0
show_initial,1195.0
scheduled_initial,1258.0
no_show_initial,63.0
show_rate_initial14,94.99
schedule_rate_initial14,93.46
invited_initial.1,1131.0
show_initial.1,1009.0
scheduled_initial.1,1061.0
no_show_initial.1,52.0
show_rate_initial30,95.1
schedule_rate_initial30,93.81
