scheduleandshow,value
invited_interview,1528.0
show_interview,1066.0
scheduled_interview,1299.0
no_show_interview,233.0
show_rate_interview30,85.01
schedule_rate_interview30,82.06
invited_interview.1,2007.0
show_interview.1,1396.0
scheduled_interview.1,1719.0
no_show_interview.1,323.0
show_rate_interview14,81.21
schedule_rate_interview14,85.65
invited_initial,1388.0
show_initial,1238.0
scheduled_initial,1300.0
no_show_initial,62.0
show_rate_initial14,95.23
schedule_rate_initial14,93.66
invited_initial.1,1131.0
show_initial.1,1012.0
scheduled_initial.1,1061.0
no_show_initial.1,49.0
show_rate_initial30,95.38
schedule_rate_initial30,93.81
