APPID,FellowStatedDate
c7b15ca6-7a1f-43cc-a842-a0c200a2d318,9/6/16
e59e8399-6923-4fbe-9956-a0c200abcb96,8/23/16
197b1fd6-5308-474f-aeb2-a0c201852263,7/7/16
5925f704-ee8f-4663-a4d2-a0c30149e795,7/1/16
fbf88333-6f24-4727-a36b-a0c8009e4c43,8/9/16
fcf00210-c3c2-451e-ae36-a0c9017b1c6d,7/29/16
78a981d2-1bdf-4307-9764-a0d6018220fe,7/28/16
17b661d5-33d7-4a7a-b1f6-a0da010f9219,9/9/16
926e76bc-3baf-40f5-91ca-a0de00dc566b,8/12/16
ebcaec6c-d1d0-42a1-8c7a-a0e200ced981,7/20/16
22c3d8cb-2bf7-4454-94a9-a0e800b051de,6/29/16
94dc821c-3b55-481d-b331-a0e9015b5a9f,8/10/16
67352945-1514-47fd-a7ca-a0f0015f858a,7/11/16
81cc1d47-ba4d-43c9-973e-a10400d04c5e,8/2/16
0ba57222-1e79-42d5-a281-a10e00d8fe91,8/5/16
4ad3bd13-c46c-4d83-b238-a11900ddc895,6/28/16
3cc91cf7-5718-4a24-ad71-a12800b2a7f0,9/6/16
2172224e-2638-4ba2-a6f5-a12c00a2ccad,7/5/16
a6bbcb66-a440-4684-8c6b-a13d00c4192b,8/8/16
d233a8bd-ac06-4d93-a7e9-a141014a3a54,7/28/16
88d45167-601c-4631-a4a9-a14f00852bff,8/11/16
301e8420-153e-41af-91c9-a15000ea09f7,8/4/16
cf770c96-2a5b-401d-88a8-a15a011296cd,7/1/16
0e980d9a-7fbc-465b-aa73-a16301437428,7/14/16
d1053994-6d98-4a4a-82b4-a16400d96293,8/12/16
c8b7df3a-d3fa-41c5-8be3-a166000da26e,8/16/16
40bbd4f1-6b0f-4a4a-b7ea-a16c015ae301,8/29/16
99ffd03d-310f-45c8-b948-a17000be2d5d,6/17/16
2ae8b7fa-be15-4e3f-b213-a172010ce29d,5/18/16
efd2c16b-d575-4706-8291-a178009db8a7,7/5/16
d681a47a-828a-4cf4-9c35-a18b014d8fe4,8/31/16
0242ea7e-6cfa-4b83-8db3-a1940121c4ac,8/9/16
c1517e89-2460-41e5-bde9-a1ab00df7f8d,8/16/16
cf2191ca-0177-4d1a-bf00-a1af00e13b45,7/26/16
edfe6889-f8b4-4b75-963e-a1c6010b622e,7/29/16
b001b37a-da8d-4935-bc29-a1d900d3b3a5,6/3/16
4e5cf205-ad0b-4749-82b1-a1e6017435e3,8/17/16
aa4f69ce-64cf-4dc6-a4fe-a1e800015929,8/1/16
ecf58ee0-d5c3-4298-b1b8-a1fe00c04da8,8/5/16
2b680fe4-4058-4d76-ac9a-a219016f1cb8,8/8/16
a8b2200f-0963-406b-8d52-a23500bc8dd9,7/28/16
58d111cd-c3cf-460b-8735-a23900fb7f0c,8/8/16
3c20a28b-2847-49e4-83eb-a23b00d95a98,7/25/16
028181d2-e283-4973-b707-a23b00f7edf3,6/17/16
304d13d1-e205-4033-8b33-a241012d1463,8/9/16
31626a8b-0953-4143-b29e-a24200f7dd2f,8/9/16
90b95ec2-bb87-40db-886b-a24600eda1ad,7/25/16
60198d44-ec7d-4763-acff-a24c0174d348,6/3/16
0ea519ac-2df9-4bdc-862b-a25101694456,7/26/16
f94e2863-f78c-44a7-a690-a252009943d2,6/24/16
b0614b5c-38ae-4501-9127-a26d0121b42a,7/1/16
19fcf85d-9208-4951-aa4d-a2750101e59f,7/27/16
01cca478-f0bd-4255-a651-a27700f1aeaa,6/29/16
a285a2fe-0b29-4670-bd6f-a277010481ac,9/2/16
cab5c32d-175c-49e8-bf7e-a279014ce737,8/4/16
82e98705-6b91-47f1-8b5c-a27a008c061f,8/15/16
885cdeea-ecfc-4cf7-a4cb-a28b01119b06,7/3/16
bcbad6ca-1887-4e95-b796-a28b012151d4,7/7/16
d4c1dafb-564c-4590-9b8b-a29001209e92,7/25/16
